ESTAR: Stopping Powers and Range Tables for Electrons

METHANE                                                                   

Kinetic  	Collision	
Energy   	Stp. Pow.	
MeV      	MeV cm2/g	

1.000E-02	2.829E+01	
1.250E-02	2.369E+01	
1.500E-02	2.049E+01	
1.750E-02	1.813E+01	
2.000E-02	1.631E+01	
2.500E-02	1.369E+01	
3.000E-02	1.188E+01	
3.500E-02	1.055E+01	
4.000E-02	9.536E+00	
4.500E-02	8.730E+00	
5.000E-02	8.075E+00	
5.500E-02	7.532E+00	
6.000E-02	7.074E+00	
7.000E-02	6.344E+00	
8.000E-02	5.787E+00	
9.000E-02	5.349E+00	
1.000E-01	4.995E+00	
1.250E-01	4.350E+00	
1.500E-01	3.915E+00	
1.750E-01	3.603E+00	
2.000E-01	3.369E+00	
2.500E-01	3.043E+00	
3.000E-01	2.831E+00	
3.500E-01	2.683E+00	
4.000E-01	2.576E+00	
4.500E-01	2.496E+00	
5.000E-01	2.435E+00	
5.500E-01	2.388E+00	
6.000E-01	2.351E+00	
7.000E-01	2.298E+00	
8.000E-01	2.264E+00	
9.000E-01	2.243E+00	
1.000E+00	2.230E+00	
1.250E+00	2.217E+00	
1.500E+00	2.221E+00	
1.750E+00	2.232E+00	
2.000E+00	2.247E+00	
2.500E+00	2.280E+00	
3.000E+00	2.314E+00	
3.500E+00	2.345E+00	
4.000E+00	2.375E+00	
4.500E+00	2.402E+00	
5.000E+00	2.428E+00	
5.500E+00	2.452E+00	
6.000E+00	2.474E+00	
7.000E+00	2.514E+00	
8.000E+00	2.549E+00	
9.000E+00	2.581E+00	
1.000E+01	2.610E+00	
1.250E+01	2.671E+00	
1.500E+01	2.722E+00	
1.750E+01	2.765E+00	
2.000E+01	2.803E+00	
2.500E+01	2.863E+00	
3.000E+01	2.904E+00	
3.500E+01	2.935E+00	
4.000E+01	2.960E+00	
4.500E+01	2.981E+00	
5.000E+01	2.998E+00	
5.500E+01	3.014E+00	
6.000E+01	3.027E+00	
7.000E+01	3.051E+00	
8.000E+01	3.070E+00	
9.000E+01	3.087E+00	
1.000E+02	3.102E+00	
1.250E+02	3.133E+00	
1.500E+02	3.158E+00	
1.750E+02	3.178E+00	
2.000E+02	3.196E+00	
2.500E+02	3.224E+00	
3.000E+02	3.247E+00	
3.500E+02	3.266E+00	
4.000E+02	3.282E+00	
4.500E+02	3.295E+00	
5.000E+02	3.307E+00	
5.500E+02	3.318E+00	
6.000E+02	3.327E+00	
7.000E+02	3.344E+00	
8.000E+02	3.358E+00	
9.000E+02	3.370E+00	
1.000E+03	3.381E+00	
