ESTAR: Stopping Powers and Range Tables for Electrons

XENON                                                                    

Kinetic  	Collision	
Energy   	Stp. Pow.	
MeV      	MeV cm2/g	

1.000E-02	1.054E+01	
1.250E-02	9.078E+00	
1.500E-02	8.022E+00	
1.750E-02	7.217E+00	
2.000E-02	6.583E+00	
2.500E-02	5.641E+00	
3.000E-02	4.974E+00	
3.500E-02	4.473E+00	
4.000E-02	4.083E+00	
4.500E-02	3.770E+00	
5.000E-02	3.513E+00	
5.500E-02	3.298E+00	
6.000E-02	3.115E+00	
7.000E-02	2.821E+00	
8.000E-02	2.594E+00	
9.000E-02	2.414E+00	
1.000E-01	2.267E+00	
1.250E-01	1.998E+00	
1.500E-01	1.815E+00	
1.750E-01	1.683E+00	
2.000E-01	1.584E+00	
2.500E-01	1.445E+00	
3.000E-01	1.355E+00	
3.500E-01	1.293E+00	
4.000E-01	1.249E+00	
4.500E-01	1.216E+00	
5.000E-01	1.192E+00	
5.500E-01	1.173E+00	
6.000E-01	1.159E+00	
7.000E-01	1.140E+00	
8.000E-01	1.130E+00	
9.000E-01	1.124E+00	
1.000E+00	1.122E+00	
1.250E+00	1.126E+00	
1.500E+00	1.135E+00	
1.750E+00	1.147E+00	
2.000E+00	1.160E+00	
2.500E+00	1.186E+00	
3.000E+00	1.211E+00	
3.500E+00	1.233E+00	
4.000E+00	1.254E+00	
4.500E+00	1.273E+00	
5.000E+00	1.290E+00	
5.500E+00	1.306E+00	
6.000E+00	1.321E+00	
7.000E+00	1.348E+00	
8.000E+00	1.372E+00	
9.000E+00	1.393E+00	
1.000E+01	1.412E+00	
1.250E+01	1.453E+00	
1.500E+01	1.487E+00	
1.750E+01	1.515E+00	
2.000E+01	1.540E+00	
2.500E+01	1.581E+00	
3.000E+01	1.613E+00	
3.500E+01	1.640E+00	
4.000E+01	1.662E+00	
4.500E+01	1.682E+00	
5.000E+01	1.700E+00	
5.500E+01	1.716E+00	
6.000E+01	1.730E+00	
7.000E+01	1.754E+00	
8.000E+01	1.775E+00	
9.000E+01	1.793E+00	
1.000E+02	1.809E+00	
1.250E+02	1.841E+00	
1.500E+02	1.867E+00	
1.750E+02	1.888E+00	
2.000E+02	1.905E+00	
2.500E+02	1.934E+00	
3.000E+02	1.957E+00	
3.500E+02	1.976E+00	
4.000E+02	1.992E+00	
4.500E+02	2.005E+00	
5.000E+02	2.017E+00	
5.500E+02	2.027E+00	
6.000E+02	2.036E+00	
7.000E+02	2.052E+00	
8.000E+02	2.066E+00	
9.000E+02	2.077E+00	
1.000E+03	2.087E+00	
