
INPUTS
==================================================
Energy range:	10.0 - 100000.0 (10000) (MeV)
Dimensions:	[250, 250, 0] (cm)
Masses:		[105.66, 139.57, 493.7, 938.27] (MeV)
Pressure:	10 (bar)
Sampling size:	0.2 (cm)

Bins(x,y):	[300, 150]
SIMULATED EVENTS:	50000

==================================================
Mass	P_true	P	dEdx	dEdx_trunc
938.27000	15044.66602	15110.66207	18.82320	17.10614
493.70000	6919.00141	6942.47188	18.31294	16.78424
105.66000	97.94126	97.93797	27.00150	25.14723
938.27000	8228.16746	8194.50625	17.90184	16.27472
938.27000	2571.41364	2568.50235	16.39429	14.99960
139.57000	2470.36130	2469.26913	19.19692	17.60686
493.70000	569.46928	569.44128	22.90126	21.07653
105.66000	122.81047	122.80767	22.37548	20.73650
493.70000	4752.25959	4751.71408	17.68494	16.12442
139.57000	161.57746	161.58125	22.35299	20.73667
938.27000	2130.84095	2129.59107	17.18397	15.49346
105.66000	485.64334	485.67464	16.93655	15.17402
938.27000	767.21966	767.26029	31.74748	29.64069
938.27000	1111.60359	1112.26183	22.96536	21.22754
938.27000	1411.71943	1412.40427	20.03485	18.29115
493.70000	17893.89634	17973.75052	20.54575	18.93250
105.66000	112.55139	112.55591	24.12305	22.12320
493.70000	20621.80633	20483.62712	21.00701	19.20530
105.66000	62792.89322	61178.00693	22.92460	21.37397
139.57000	123.15332	123.14965	28.12286	26.35318
105.66000	242.62309	242.62236	17.69360	15.90002
938.27000	2968.38404	2971.64291	16.80793	15.22840
105.66000	585.26656	585.37440	16.71204	15.07915
493.70000	28129.75714	28328.94614	21.34831	19.69704
938.27000	1243.03351	1242.88039	21.19276	19.38517
493.70000	571.05669	571.02924	22.70273	20.89296
139.57000	133.56654	133.56623	27.14110	25.17011
493.70000	518.00297	517.89150	24.41208	22.53381
938.27000	14270.72395	14299.44850	18.72288	17.19643
493.70000	23691.15114	23576.39647	20.93214	19.35296
139.57000	128.81357	128.80602	27.45083	25.76904
493.70000	2090.52351	2088.63447	16.31150	14.72803
938.27000	19654.06082	19621.80920	19.68468	17.97224
139.57000	2196.86919	2198.26101	19.03123	17.56286
938.27000	1433.69348	1433.80542	19.91975	18.21072
938.27000	72182.23939	71480.44956	21.69341	19.86354
938.27000	1081.00923	1080.88806	23.11880	21.04749
938.27000	8324.08771	8305.13103	17.67543	16.08094
938.27000	96961.80915	99265.27862	21.70365	20.04622
938.27000	5776.95560	5776.75884	17.08428	15.46635
139.57000	6428.47831	6441.16125	20.69633	19.04126
938.27000	755.76930	755.46021	31.65540	29.58050
105.66000	59041.07432	60254.07853	22.16787	20.47584
938.27000	3051.71011	3047.66959	16.62165	15.05838
105.66000	394.98519	395.01581	16.32523	14.69829
105.66000	2242.28148	2241.83977	19.31889	17.77389
938.27000	1325.58729	1325.68592	20.63677	18.84538
493.70000	829.23563	829.80914	18.87178	17.19432
493.70000	391.97279	391.91422	31.99638	30.02155
493.70000	21474.14756	21476.15714	20.75800	19.05675
938.27000	34065.31516	33751.86104	20.52336	18.99480
493.70000	1262.36718	1262.08416	17.26085	15.62634
105.66000	165.53088	165.54168	19.52745	17.62094
105.66000	239.92665	239.91796	17.55009	15.69286
139.57000	510.00474	510.13755	16.31964	14.95243
139.57000	10549.86985	10559.54710	20.94829	19.47334
139.57000	9098.23587	9054.92875	21.39868	19.91405
493.70000	1583.18810	1583.05593	15.95479	14.38923
938.27000	5690.56120	5709.60462	16.74626	15.38099
105.66000	22080.67587	21861.31888	22.10282	20.38062
139.57000	2444.65507	2446.89855	18.86227	17.45955
105.66000	76.56081	76.56022	32.62512	30.82059
493.70000	3534.41158	3534.51457	17.74249	15.92413
938.27000	35788.12811	35643.86046	20.44680	18.90416
139.57000	72247.82512	71295.74678	22.66651	20.80003
105.66000	52.99029	52.99038	31.38601	29.48000
493.70000	2497.62783	2498.76695	16.56948	15.12491
938.27000	2379.62175	2378.58522	16.95091	15.18299
493.70000	62776.18060	63528.94522	21.96681	20.44891
938.27000	2273.58568	2274.22591	17.02188	15.49064
938.27000	3841.45972	3838.13525	16.71701	15.24653
938.27000	60576.48672	60270.14093	21.42085	19.80968
105.66000	184.75850	184.75491	18.42593	16.93525
493.70000	6043.81786	6041.34695	18.01716	16.32910
938.27000	11603.33310	11696.04095	18.74083	17.04085
139.57000	349.62628	349.57554	17.07087	15.42886
938.27000	2104.46455	2105.28725	17.17288	15.69040
493.70000	402.25169	402.24908	31.77145	29.89818
938.27000	36699.27727	36016.11162	20.90922	19.15267
105.66000	365.97326	365.96177	16.72356	15.15184
105.66000	1073.66615	1074.20991	17.64798	16.21206
938.27000	1275.70931	1275.33516	20.98124	19.34856
938.27000	50860.56709	51280.84576	21.56489	19.85386
938.27000	72051.08852	72439.79315	21.42825	19.88659
938.27000	3767.94551	3764.81002	16.58733	14.88696
105.66000	721.09118	721.08286	17.36603	15.55611
493.70000	3692.69132	3697.17764	17.01121	15.62898
105.66000	2483.74630	2483.45121	19.46662	17.98914
105.66000	42917.29725	42825.09604	22.30388	20.50365
139.57000	2513.83960	2512.65590	18.75519	17.31858
105.66000	34807.46207	34637.03377	22.02700	20.55046
938.27000	3575.52788	3573.44128	16.48194	14.86038
139.57000	165.50504	165.50017	22.71340	20.98448
493.70000	1402.45507	1402.60472	16.41805	15.05275
493.70000	70635.01697	70636.18597	22.26132	20.40034
139.57000	55547.63492	54675.31739	22.42163	20.59640
139.57000	596.12967	596.07162	16.71236	15.10027
139.57000	17322.97801	17323.05225	21.93206	20.23032
105.66000	288.14605	288.14554	16.80001	15.50736
139.57000	201.34014	201.34765	19.76251	18.42350
938.27000	16598.03659	16593.50888	18.82045	17.17496
938.27000	42496.17617	43170.43085	20.72453	19.09019
493.70000	423.99801	423.90204	29.14138	27.34301
105.66000	746.52746	746.75429	17.42242	15.84546
139.57000	2292.24161	2295.25867	18.91718	17.48155
105.66000	49170.23847	49210.74883	22.17885	20.48658
139.57000	352.45969	352.46000	17.43783	15.74989
938.27000	15374.58640	15408.54229	19.22501	17.48718
493.70000	4080.16788	4083.53819	17.36793	16.02322
938.27000	1532.45193	1531.69354	19.24032	17.55213
139.57000	5264.81087	5270.58855	20.35852	18.81106
139.57000	2147.97826	2152.22114	18.91285	17.28162
493.70000	1193.20571	1193.49900	17.17848	15.52883
105.66000	2166.71351	2165.85976	19.07368	17.53136
938.27000	22413.43102	22237.89754	20.13834	18.28482
139.57000	233.50609	233.50664	18.47039	17.03874
938.27000	83345.20615	83196.85738	22.12056	20.24370
139.57000	438.63858	438.66611	16.95609	15.26202
938.27000	2183.39276	2186.58593	17.37849	15.68635
105.66000	1203.08658	1202.72069	17.82444	16.24779
139.57000	16324.27927	16375.97835	22.04527	20.20304
938.27000	12140.48229	12115.18230	18.45328	16.92099
139.57000	116.44219	116.44212	30.38228	28.69909
139.57000	390.64639	390.65169	16.40908	15.16170
938.27000	1822.11586	1822.54404	17.87681	16.36677
493.70000	11587.82942	11587.62088	19.22480	17.92648
139.57000	243.72774	243.75799	18.27894	16.73091
139.57000	336.99382	336.96486	17.18640	15.65978
493.70000	1297.91701	1296.36551	17.09791	15.38803
139.57000	1364.44555	1364.10806	18.17334	16.40443
139.57000	191.71266	191.71327	20.73921	19.12152
493.70000	3846.32069	3847.39286	17.97840	16.32136
938.27000	1691.30773	1691.58329	18.17334	16.62144
139.57000	32734.29721	32401.13472	22.12447	20.42779
493.70000	679.50593	679.56429	20.73794	19.17326
139.57000	827.04868	827.17279	16.63644	15.19250
139.57000	127.58948	127.58850	27.21344	25.57843
938.27000	23365.23997	23135.10924	20.53857	18.58067
