
INPUTS
==================================================
Energy range:	10.0 - 100000.0 (10000) (MeV)
Dimensions:	[250, 250, 0] (cm)
Masses:		[105.66, 139.57, 493.7, 938.27] (MeV)
Pressure:	10 (bar)
Sampling size:	0.2 (cm)

Bins(x,y):	[300, 150]
SIMULATED EVENTS:	25000

==================================================
Mass	P_true	P	dEdx	dEdx_trunc
139.57000	170.02889	170.02964	21.97684	20.50752
938.27000	900.97507	901.14883	26.51996	24.84698
105.66000	154.60383	154.59990	19.68447	18.24117
139.57000	22897.22955	22775.36724	22.06280	20.53674
139.57000	47647.46721	47995.85515	22.52184	20.65941
493.70000	661.66916	661.73858	21.22497	19.56486
105.66000	58.92182	58.91828	32.93463	30.82834
105.66000	7149.94083	7138.13702	21.10511	19.43533
105.66000	8598.63246	8565.85514	21.44261	19.65938
938.27000	14050.50224	14046.38774	19.10938	17.30221
105.66000	5473.38785	5464.34668	21.18325	19.45240
938.27000	13679.65152	13637.51020	18.98582	17.19221
105.66000	5513.10367	5532.39444	21.09782	19.40259
105.66000	1857.44427	1854.35568	18.82288	17.08714
105.66000	76.24980	76.23814	32.32384	30.45997
139.57000	416.11517	416.06677	16.56896	14.90350
493.70000	23457.18920	23055.46969	20.93636	19.22853
139.57000	350.56762	350.58584	17.15060	15.38187
493.70000	2558.19773	2557.16716	16.79600	15.19338
139.57000	177.91254	177.94923	22.16935	20.54518
139.57000	277.40968	277.39405	17.54196	16.01758
938.27000	5405.92427	5409.15524	16.78290	15.40634
105.66000	283.06810	283.07115	17.34205	15.71627
493.70000	7640.61060	7663.55758	18.74157	17.17197
139.57000	59620.29384	58836.01923	22.47791	20.69901
139.57000	11649.54992	11631.00190	21.61167	19.84928
139.57000	1900.59050	1901.22578	18.38971	16.78213
938.27000	2013.32610	2011.36951	17.72897	15.97816
938.27000	49320.77839	48746.05383	20.93140	19.50379
493.70000	908.43688	908.06598	17.68673	16.07214
493.70000	453.59077	453.67151	27.20066	25.52774
938.27000	68288.84039	69096.21513	21.90492	20.24123
105.66000	265.78174	265.80046	17.31407	15.61190
139.57000	22094.16516	22026.79082	21.92552	20.21395
938.27000	970.57649	970.58929	25.48667	23.62061
139.57000	1275.37594	1274.87453	17.65769	16.29918
938.27000	63618.67353	64545.82421	20.68229	19.17467
105.66000	9073.03797	9113.90755	21.80239	20.09146
493.70000	898.87232	898.53703	18.11547	16.63570
105.66000	2308.37384	2308.70990	19.39650	18.01202
938.27000	5470.14129	5487.87803	16.66928	15.13336
938.27000	2153.37142	2154.34340	17.08291	15.57142
493.70000	7801.05012	7818.85271	18.77135	17.11987
105.66000	60.33087	60.33708	32.36228	30.43533
139.57000	242.38262	242.38407	17.91525	16.33122
938.27000	61128.50063	62158.71422	21.24049	19.61098
938.27000	5925.84651	5926.92863	17.24216	15.46758
938.27000	4060.13874	4044.00170	16.76981	15.26237
105.66000	5862.76586	5869.14970	20.92665	19.49341
105.66000	2134.61188	2135.06250	19.09269	17.47750
493.70000	470.56344	470.57803	26.44076	24.71462
139.57000	1779.31551	1779.80125	18.00364	16.58237
938.27000	3987.64724	3992.55102	16.52893	14.98816
493.70000	4060.09090	4070.43083	17.86467	16.11509
139.57000	223.81463	223.80063	19.40411	17.69698
105.66000	59149.74864	57509.94130	22.53029	20.70939
938.27000	52782.64343	50979.01623	21.20131	19.68859
139.57000	2753.26405	2753.23372	19.31160	17.65386
139.57000	2050.08666	2050.22589	18.16500	16.56917
938.27000	2717.39565	2719.31287	16.58649	15.11717
105.66000	49.13133	49.13387	32.66092	30.93482
139.57000	2102.05492	2103.56864	18.78318	17.06778
938.27000	13457.51271	13431.44539	18.90451	17.29394
938.27000	6603.54504	6586.55477	17.52897	15.89720
139.57000	112.45940	112.47248	32.40357	30.28062
493.70000	1847.32030	1847.50659	16.47592	14.97795
938.27000	6635.62739	6632.79532	17.36867	15.55946
493.70000	446.91263	446.95642	27.31608	25.46614
938.27000	2550.35257	2548.48106	16.77308	15.12438
139.57000	18000.82771	18051.43837	22.07093	20.39136
938.27000	8612.13721	8616.96284	17.47405	15.94490
139.57000	9181.15729	9201.29175	20.99772	19.59021
105.66000	105.16670	105.18339	25.81677	24.16550
493.70000	1592.20920	1592.23465	16.80761	15.02230
938.27000	2510.57357	2511.59810	17.05334	15.55910
938.27000	2481.66038	2480.15748	16.88386	15.27469
105.66000	50777.83371	50412.04660	22.27611	20.76254
938.27000	6971.88852	6964.87256	17.06401	15.59307
493.70000	763.92761	763.90598	19.73242	18.25930
139.57000	529.77629	529.86258	16.72693	15.21186
938.27000	761.27184	761.16514	31.86110	29.84626
139.57000	37632.93311	37623.78780	22.00239	20.39840
938.27000	3069.15036	3076.38922	16.54034	15.00875
139.57000	48620.03339	48530.72586	22.42775	20.76923
105.66000	147.35762	147.35223	20.27309	18.74382
938.27000	13691.45060	13667.64899	18.48137	16.72458
493.70000	462.10681	462.15097	27.07647	25.39117
105.66000	793.97962	793.96213	17.28419	15.71152
938.27000	4222.57736	4223.06263	16.58205	14.92040
493.70000	22382.70551	22106.13059	21.03732	19.32462
105.66000	91.44515	91.44586	28.98372	26.95933
938.27000	1818.66598	1819.83156	17.83975	16.40549
139.57000	5020.42955	5013.12240	20.58133	18.91208
938.27000	7702.89129	7704.83964	17.56255	15.99910
493.70000	10769.68579	10843.30211	19.80855	17.93862
938.27000	3887.54148	3883.31039	16.52577	15.09728
493.70000	396.66237	396.66567	31.66500	29.93830
105.66000	351.54656	351.55767	16.76368	15.07299
105.66000	72.00841	72.00789	32.12859	30.39133
139.57000	99955.41692	110437.89094	22.75965	20.98483
938.27000	5329.99709	5322.25414	17.02536	15.47920
938.27000	1069.65472	1069.80456	23.00158	21.09958
493.70000	12338.98635	12440.01353	19.52576	18.00374
139.57000	16731.87629	16723.94778	21.73364	19.91422
139.57000	164.39729	164.37887	22.58900	20.99962
139.57000	2992.89212	2991.67028	19.49070	17.66653
493.70000	47476.99492	48526.91348	21.96902	19.93869
493.70000	68035.31496	67784.40550	21.67176	20.01525
938.27000	1168.74205	1168.71356	22.50547	20.72910
938.27000	96785.05577	96419.19123	22.02024	20.23226
105.66000	4460.16829	4468.64215	20.86846	19.11888
938.27000	42496.17617	43516.14677	20.95357	19.28450
139.57000	539.20876	539.22102	16.50169	14.96264
493.70000	9624.20104	9617.32276	19.27918	17.65280
938.27000	793.63361	793.42761	29.74583	27.74851
139.57000	60782.07466	62448.33232	22.36471	20.63354
493.70000	2375.93422	2377.98775	16.76305	15.26061
139.57000	16489.11467	16418.18638	21.80872	20.14478
105.66000	178.63363	178.60300	18.73101	17.20118
493.70000	11516.39318	11516.28921	19.58700	17.97752
105.66000	454.07063	454.10157	16.68512	15.05082
139.57000	9374.79962	9299.12510	21.05981	19.41949
493.70000	22565.01188	22490.68375	21.07216	19.31230
105.66000	1488.07617	1488.76037	18.51559	16.86925
493.70000	679.11187	679.13739	20.62769	18.91666
493.70000	14034.20449	14025.09763	19.73379	17.92982
105.66000	83.87629	83.87587	32.23693	30.26672
493.70000	86076.41400	85592.16811	22.53736	20.79158
139.57000	73520.93308	73246.81970	22.47907	20.61347
938.27000	1196.28105	1195.81142	21.77081	20.05590
493.70000	12004.97645	12059.83483	19.70707	18.08875
493.70000	2851.42361	2847.86803	17.00424	15.33435
493.70000	506.85685	506.81740	25.04061	23.28480
493.70000	31218.81968	30926.65575	21.06857	19.57560
139.57000	2172.27793	2172.99423	18.58000	17.03610
139.57000	14791.57556	14795.10020	22.27685	20.22328
493.70000	21090.96664	21189.58928	20.86033	19.06397
139.57000	401.04362	401.03046	16.99167	15.44523
