
INPUTS
==================================================
Energy range:	10.0 - 100000.0 (10000) (MeV)
Dimensions:	[250, 250, 0] (cm)
Masses:		[105.66, 139.57, 493.7, 938.27] (MeV)
Pressure:	10 (bar)
Sampling size:	0.2 (cm)

Bins(x,y):	[300, 150]
SIMULATED EVENTS:	75000

==================================================
Mass	P_true	P	dEdx	dEdx_trunc
493.700000	2341.671874	2510.732464	16.378560	14.962992
938.270000	3715.274912	4115.234119	16.846051	14.985872
938.270000	1020.048720	873.403316	23.525885	21.909008
493.700000	54043.097551	47472.060184	21.914640	20.226976
139.570000	22939.195102	24714.297810	21.781162	20.172768
105.660000	129.898436	136.030765	22.352986	20.451376
139.570000	120.024727	116.706213	28.708838	27.105056
938.270000	37364.627587	32310.816937	20.631178	18.975792
493.700000	1019.249055	941.539476	17.556106	15.766432
139.570000	19996.821693	17586.788772	21.611462	20.168544
105.660000	60413.999702	57575.499782	22.682986	20.672080
493.700000	1217.356365	1028.022446	17.145850	15.536048
493.700000	7882.604684	7909.097813	18.696163	16.988576
105.660000	814.293737	850.332946	17.833728	15.937328
938.270000	19671.348647	18548.092913	19.508333	17.891104
105.660000	45517.023680	51395.507054	22.074518	20.321136
139.570000	2502.895042	2245.533281	18.838301	17.352544
493.700000	670.901794	691.650612	20.907005	19.188224
105.660000	529.494695	471.586785	16.919126	15.368144
139.570000	36510.373051	40542.358006	21.937978	20.421632
105.660000	2612.173198	2481.369315	19.742237	18.083296
938.270000	881.934561	828.956689	27.353674	25.533728
493.700000	74894.509442	74220.676996	22.021824	20.312336
493.700000	1298.799359	1319.185834	17.109206	15.666992
105.660000	30665.137743	33308.077536	22.300925	20.673488
493.700000	1972.492197	1992.572822	16.545302	14.940992
938.270000	21088.548968	21047.515106	19.882051	17.997408
493.700000	684.654648	674.404290	20.445005	18.842032
493.700000	59972.555145	60699.608010	22.064170	20.517376
938.270000	42228.945601	43891.188013	20.747549	19.106208
938.270000	28973.852292	28475.192477	20.250067	18.650720
493.700000	660.906907	610.377477	21.289594	19.685600
139.570000	1707.931016	1927.484756	18.322656	16.853056
938.270000	4945.113863	4865.966415	16.921978	15.348080
493.700000	31503.215635	31532.708239	21.282096	19.666768
938.270000	36208.241991	38713.505833	20.281008	18.770400
493.700000	453.590765	413.590795	27.651888	26.099744
105.660000	7681.770453	7320.420555	21.705974	19.839424
139.570000	169.264445	168.002045	22.050230	20.309872
493.700000	3534.411578	3513.569457	17.428752	15.860240
105.660000	391.247876	453.937293	16.625875	15.029696
493.700000	5304.348697	5801.949791	17.970480	16.316256
938.270000	1219.728859	1220.108314	21.568589	19.915808
493.700000	60633.697227	63574.275787	21.925306	20.242816
139.570000	742.276189	828.949340	16.740874	15.278560
493.700000	49827.865588	55994.617197	22.002816	20.180336
938.270000	88108.692509	98118.094765	21.160128	19.692464
139.570000	4553.792043	4069.579106	20.346902	18.709328
938.270000	34495.608963	30767.331252	20.600976	18.734672
938.270000	36699.277269	36793.830395	20.617872	19.030176
938.270000	36765.262418	41333.886704	20.811859	19.005008
493.700000	4516.852332	4984.061360	17.891069	16.324704
105.660000	2153.434427	2060.156072	19.159853	17.557760
139.570000	507.041685	512.133870	16.605494	14.968976
139.570000	3377.478760	3248.997190	19.551629	18.068688
139.570000	72247.825125	67527.077818	22.438522	20.724176
139.570000	142.170662	118.368132	25.433232	23.776368
105.660000	52486.328341	58279.709398	21.928896	20.300544
493.700000	10038.048183	8554.919169	19.428710	17.646112
938.270000	1955.704175	2253.559827	17.405309	15.872384
938.270000	66998.306614	66247.979483	21.304166	19.650400
105.660000	200.817046	214.393641	17.954534	16.264512
105.660000	45600.760429	38691.809566	22.250659	20.550464
938.270000	51555.362361	49009.998411	20.953786	19.261792
493.700000	45444.701133	41567.123863	21.800698	20.208144
493.700000	2851.423610	3152.054391	16.710778	15.140224
139.570000	37979.894543	40224.424145	22.051498	20.415824
493.700000	17893.896337	17828.389671	20.404982	18.570816
493.700000	23309.533352	23626.118850	20.869094	19.126800
139.570000	750.406248	757.476023	16.705920	15.356176
105.660000	13592.175845	15979.519207	22.136189	20.267632
493.700000	2054.873440	2167.169214	16.500422	14.811456
105.660000	16083.236968	18335.449830	22.049174	20.473728
105.660000	64.148246	70.541362	33.047414	31.068048
105.660000	3320.977250	3669.122034	20.293152	18.726576
493.700000	11394.995738	11646.308212	19.655962	18.049504
493.700000	541.500219	476.586400	23.262730	21.685136
938.270000	96081.289191	81004.728371	21.926256	20.230848
105.660000	75058.319598	77561.203421	22.492589	20.803552
493.700000	24540.009875	23949.029458	20.440358	18.841856
493.700000	933.203323	1044.352452	17.990333	16.405840
938.270000	6172.203737	5962.504203	17.092205	15.507008
493.700000	12806.978304	12834.860431	20.113421	18.302064
493.700000	422.889333	422.307205	29.106634	27.340192
938.270000	38008.158417	31122.760417	20.754307	19.033696
139.570000	1817.756512	1622.651730	18.391296	16.672128
938.270000	14582.683631	13911.921169	18.887088	17.173024
493.700000	36131.763393	35436.216845	21.458659	19.785216
139.570000	721.273230	702.903710	16.848058	15.305136
105.660000	11637.221682	10765.653615	22.198915	20.522304
139.570000	20162.133293	24274.990515	22.540320	20.769056
938.270000	55077.148648	56888.539046	21.628570	19.887648
938.270000	2151.954637	2248.984932	17.560330	15.826448
493.700000	17217.640710	13725.441457	20.497066	18.894304
105.660000	856.677952	835.529356	17.830349	16.157680
139.570000	51896.656644	45343.584754	22.646026	20.987472
105.660000	4360.980839	4387.778108	20.608896	18.931968
938.270000	57161.465150	53750.535289	21.302794	19.667296
105.660000	644.288573	673.790823	17.115120	15.411968
105.660000	2735.354267	3094.948090	20.032214	18.167776
938.270000	801.975745	781.572183	28.782970	27.055072
105.660000	76875.053236	71953.621475	22.905274	21.146048
938.270000	1131.743125	1031.644525	21.947270	20.097616
139.570000	5467.119413	6472.263496	20.788522	19.111136
938.270000	2264.512372	2088.266470	17.247648	15.462304
139.570000	46909.322177	57053.316712	22.396810	20.649024
139.570000	3619.083543	3478.375695	19.743187	18.139440
938.270000	1532.451935	1381.100517	19.577078	17.935280
139.570000	396.625127	395.677891	16.854077	15.247056
139.570000	138.307928	143.288431	25.959014	24.111120
493.700000	51397.528656	51684.031223	21.503117	20.009440
493.700000	9985.313514	10440.869718	19.194806	17.470992
105.660000	6771.097811	7290.154160	21.032669	19.348208
139.570000	245.687208	255.844944	18.044928	16.571808
139.570000	8182.722213	8806.814204	21.076070	19.444480
105.660000	17624.949993	17174.095111	22.354886	20.586544
938.270000	44295.766945	51392.162354	21.064877	19.450640
493.700000	428.692200	439.602135	28.404816	26.456496
493.700000	5916.579550	6191.402061	18.288442	16.591696
938.270000	1848.838110	1628.594513	18.067315	16.535552
493.700000	42754.070947	41114.447010	21.641453	19.896448
938.270000	4735.399072	4792.063719	16.848902	15.257616
105.660000	8002.464573	7791.506068	21.449366	19.773248
105.660000	673.627565	740.495533	17.082701	15.611552
493.700000	10162.232484	9528.063805	19.062067	17.387392
493.700000	25282.471200	25491.306649	21.223805	19.663776
493.700000	57662.577176	68991.588707	21.788237	20.170128
938.270000	9559.834901	10358.000222	18.140602	16.384368
139.570000	112.692637	122.550380	32.339683	30.415792
493.700000	47911.816720	52316.061622	21.978528	20.215536
938.270000	28461.544058	25638.484105	20.334125	18.554800
938.270000	10877.173322	11139.217099	18.005645	16.445968
493.700000	7634.001989	6433.581344	18.844848	17.095760
105.660000	1045.258687	1112.788405	18.063830	16.193936
938.270000	7811.336477	6123.661859	17.912822	16.311152
493.700000	596.538335	550.604707	22.633037	20.982720
139.570000	92014.245731	87244.187121	22.562390	20.944880
938.270000	14863.190468	16226.569307	18.583594	17.157536
139.570000	2628.392772	2214.712153	19.101456	17.434560
938.270000	7080.479948	7322.765217	17.344800	15.791952
493.700000	4199.492380	3795.973381	17.754528	16.169472
938.270000	28486.936168	23457.619239	20.053018	18.400272
938.270000	1212.773874	1241.685771	21.338275	19.782752
139.570000	35324.057712	35058.593252	22.703366	20.924288
938.270000	993.581239	954.434694	24.347453	22.472208
493.700000	20473.941247	21007.710255	20.916403	19.130848
139.570000	811.541399	785.765039	17.064326	15.556464
938.270000	2451.491008	2882.975645	16.561882	14.925504
139.570000	1731.378099	1565.372214	18.160771	16.730912
139.570000	12337.342364	10142.668175	21.535747	19.862304
105.660000	81162.657119	97025.450587	22.620998	20.890496
105.660000	117.220393	132.212470	23.548166	21.655744
105.660000	418.013253	418.054518	16.550266	15.103440
493.700000	36995.732365	35309.970169	21.439229	19.771136
938.270000	82139.442391	70306.270757	22.122989	20.159040
105.660000	883.860605	856.003658	17.306890	15.797584
938.270000	38076.555594	45654.718049	20.445850	18.866320
105.660000	56.764923	65.588120	32.231126	30.256336
105.660000	132.648134	118.802494	21.985709	20.540608
139.570000	115.958015	85.369169	30.210576	28.171968
105.660000	94.826957	121.916437	27.866362	26.121040
139.570000	26245.279471	24464.084092	21.930269	20.288048
105.660000	107.930921	123.654212	25.527322	23.818960
938.270000	26740.919944	26233.258563	19.773072	18.385664
139.570000	91255.738880	99267.340670	22.744234	21.085680
139.570000	1656.414016	1703.691556	18.164467	16.659280
938.270000	1635.826900	1525.270432	18.084739	16.387712
105.660000	315.053802	356.729186	16.414570	14.909312
938.270000	15387.941334	16364.885754	18.890256	17.126912
105.660000	98.515771	98.323128	27.687158	25.613808
493.700000	15192.431784	15194.629060	19.915738	18.396928
493.700000	1546.623441	1595.102291	16.872134	15.231568
105.660000	3466.475546	3297.093657	20.701507	18.951328
938.270000	4790.548448	5121.376047	16.796419	15.488528
938.270000	4385.982436	3674.056782	16.751117	15.032864
493.700000	66863.463763	75566.049290	21.672816	19.974768
493.700000	2081.153733	2131.174510	16.591027	15.102032
139.570000	82627.616477	95424.962547	22.687738	20.870960
938.270000	54828.305291	60309.026482	21.103738	19.383584
139.570000	1770.219909	1856.477831	18.778954	17.183408
493.700000	28282.965236	23063.088162	21.625824	19.923024
493.700000	56774.268274	57003.146635	21.654230	19.961920
105.660000	112.489860	100.186566	24.554323	22.935968
493.700000	8268.106890	8353.952627	19.158374	17.556880
493.700000	2208.587568	2095.795615	16.481520	14.872176
493.700000	69481.585980	74264.366571	21.784858	20.142848
938.270000	97138.888430	104538.273804	21.880320	20.112048
938.270000	5210.220651	6003.785872	17.025466	15.516688
139.570000	4931.264528	5201.750663	20.147846	18.654064
139.570000	4926.849218	4962.414643	20.380272	18.673600
493.700000	9341.908704	7890.386185	19.034928	17.497216
139.570000	203.480882	195.364519	20.318496	18.562720
493.700000	5362.825878	4449.288415	17.587997	16.241808
139.570000	9999.106245	8231.875295	21.084307	19.703728
