
INPUTS
==================================================
Energy range:	10.0 - 100000.0 (10000) (MeV)
Dimensions:	[250, 250, 0] (cm)
Masses:		[0.511, 105.66, 139.57, 493.7, 938.27] (MeV)
Pressure:	10 (bar)
Sampling size:	0.2 (cm)

Bins(x,y):	[300, 150]
SIMULATED EVENTS:	50

==================================================
Mass	P_true	P	dEdx	dEdx_trunc
0.511000	62.807688	60.940887	21.282096	19.520160
938.270000	59541.562792	65977.182201	21.091488	19.348736
0.511000	5596.473373	6282.452233	20.685139	19.155136
105.660000	58716.250006	65326.637153	21.060336	19.386400
0.511000	1329.166254	1364.422046	21.364042	19.486192
938.270000	22354.062679	22994.413479	20.555885	18.760192
0.511000	1413.747980	1375.316252	20.816506	19.189632
938.270000	991.413539	924.904725	27.594547	25.730144
105.660000	2801.675522	2729.594021	20.614282	19.042320
0.511000	52963.489074	56422.749002	21.050093	19.347680
0.511000	3495.568627	3084.310012	21.280723	19.409632
139.570000	10359.807848	10494.284979	20.889898	19.188576
0.511000	25023.537388	24198.189072	21.075437	19.276928
139.570000	355.801196	352.060097	18.048624	16.340192
139.570000	521.683548	530.454058	18.041866	16.173520
105.660000	99.411610	104.376287	30.699610	28.717392
139.570000	286.401883	273.884420	19.532832	17.826336
105.660000	40206.993309	38448.123301	22.130592	20.438880
493.700000	13713.363136	14725.979792	20.452080	18.592112
0.511000	20909.451804	22669.406217	21.001622	19.408928
105.660000	15705.114688	20067.823726	21.049776	19.374080
493.700000	512.114617	561.729282	28.026451	26.131248
139.570000	430.363556	387.042144	17.494752	16.136032
938.270000	27834.275694	23537.125825	20.293680	18.695776
938.270000	9664.745255	10957.361248	19.043165	17.454272
938.270000	1833.674596	1984.395222	19.352995	17.634320
493.700000	27376.286291	24611.958366	20.593478	18.987760
0.511000	17.192097	16.920961	20.519242	18.754384
0.511000	11176.985460	10379.492946	20.644166	18.889552
0.511000	8829.166867	9021.528636	21.134678	19.573312
105.660000	945.036310	1055.755519	18.504605	16.916592
0.511000	880.737393	868.466869	20.704886	19.090544
493.700000	2570.115854	2374.850789	17.524848	16.010192
493.700000	2152.650936	1948.565969	17.924755	16.076368
105.660000	94467.675345	101269.960918	20.670883	19.021200
938.270000	88672.637249	86313.770577	21.146611	19.413328
938.270000	17475.448166	19455.060976	19.680355	18.202448
493.700000	66924.630199	60322.815287	21.182726	19.482144
139.570000	513.737691	424.727841	17.866253	16.150992
139.570000	140.716557	159.579384	28.601338	26.859008
139.570000	1293.528077	1281.942858	18.951293	17.187632
105.660000	84.529145	86.074563	32.715619	30.847168
493.700000	25328.198049	23782.985896	20.317651	18.765648
493.700000	18564.109485	22226.365630	20.522832	18.859632
0.511000	2367.724417	2496.265949	20.650186	19.095120
938.270000	834.637367	897.427500	30.819888	29.179392
139.570000	271.152622	270.695908	19.354790	17.372784
139.570000	33462.906747	30681.659633	21.467213	19.812496
938.270000	1041.038744	1104.925664	26.753866	25.019984
493.700000	7653.846024	7813.711509	19.480982	17.880544
