
INPUTS
==================================================
Energy range:	10.0 - 100000.0 (10000) (MeV)
Dimensions:	[0.5, 0.5, 0] (cm)
Masses:		[0.511, 105.66, 139.57, 493.7, 938.27] (MeV)
Pressure:	0.001 (bar)
Sampling size:	0.75 (cm)

Bins(x,y):	[300, 150]
SIMULATED EVENTS:	500

==================================================
Mass	P_true	P	dEdx	dEdx_trunc
105.660000	11220.037700	10983.867240	nan	nan
938.270000	1078.006942	1048.386077	nan	nan
938.270000	61406.419786	60388.512015	nan	nan
938.270000	96520.535431	106678.782983	nan	nan
0.511000	20.076225	20.464618	nan	nan
938.270000	1439.682351	1690.966921	nan	nan
938.270000	22275.159236	23368.912345	nan	nan
493.700000	8696.284470	8399.415175	nan	nan
938.270000	12628.301332	12195.078132	nan	nan
0.511000	270.249114	289.445609	nan	nan
105.660000	92.264875	98.806255	nan	nan
0.511000	703.558363	642.674840	nan	nan
938.270000	1494.113864	1354.104703	nan	nan
139.570000	21574.593632	23615.171007	nan	nan
938.270000	94862.106778	86786.821347	nan	nan
105.660000	137.340256	124.993807	nan	nan
0.511000	2651.710054	2729.884650	nan	nan
139.570000	22013.418957	20375.744424	nan	nan
0.511000	11.939538	10.487305	nan	nan
0.511000	47640.077042	44144.108936	nan	nan
0.511000	33787.763332	28383.497645	nan	nan
0.511000	32836.615952	29574.972747	nan	nan
139.570000	27150.366217	24651.247530	nan	nan
0.511000	13487.437508	15018.398066	nan	nan
0.511000	60087.145259	61736.344183	nan	nan
105.660000	139.482584	135.845833	nan	nan
938.270000	1959.481235	2172.369680	nan	nan
938.270000	92217.786403	94231.923976	nan	nan
493.700000	92282.571678	80195.719295	nan	nan
139.570000	28817.026923	26414.116089	nan	nan
493.700000	25860.154200	26970.399119	nan	nan
493.700000	395.432698	382.648461	nan	nan
0.511000	36573.151381	41063.988287	nan	nan
105.660000	101.939636	97.656447	nan	nan
0.511000	1724.853940	2106.968187	nan	nan
493.700000	44583.437409	43170.429729	nan	nan
493.700000	1502.609471	1444.942042	nan	nan
0.511000	1889.492075	1598.942872	nan	nan
0.511000	727.932397	645.348758	nan	nan
0.511000	60475.828595	57058.348907	nan	nan
493.700000	558.817081	603.146413	nan	nan
493.700000	5594.327734	5677.051158	nan	nan
105.660000	186.129549	186.958001	nan	nan
105.660000	1231.988280	1145.187766	nan	nan
0.511000	19.754290	19.700983	nan	nan
139.570000	4685.966671	5157.627267	nan	nan
938.270000	14709.484962	14282.155562	nan	nan
0.511000	72.435161	76.963220	nan	nan
105.660000	1062.025445	1117.978145	nan	nan
493.700000	1693.211948	1351.491998	nan	nan
493.700000	497.072799	466.904821	nan	nan
139.570000	66878.845925	75619.077605	nan	nan
938.270000	38110.801435	40304.086641	nan	nan
938.270000	13434.354026	13355.676639	nan	nan
493.700000	417.179135	449.224572	nan	nan
105.660000	22080.675868	17113.371780	nan	nan
0.511000	392.938116	411.507526	nan	nan
139.570000	209.329784	267.663516	nan	nan
0.511000	2820.484436	2703.826565	nan	nan
493.700000	17926.006183	16067.616052	nan	nan
493.700000	93903.191037	107503.963009	nan	nan
493.700000	444.791025	459.937826	nan	nan
493.700000	2709.753549	2475.347062	nan	nan
0.511000	7825.601121	8070.131941	nan	nan
105.660000	776.115908	913.385737	nan	nan
105.660000	228.465335	252.544077	nan	nan
0.511000	445.720652	440.161271	nan	nan
105.660000	160.569894	143.324270	nan	nan
105.660000	69.307661	68.615980	nan	nan
0.511000	230.726810	192.091143	nan	nan
493.700000	1702.994249	1810.612237	nan	nan
0.511000	22.566681	22.295727	nan	nan
493.700000	47174.993774	51678.418466	nan	nan
0.511000	79139.379936	65760.848952	nan	nan
