
INPUTS
==================================================
Energy range:	10.0 - 100000.0 (10000) (MeV)
Dimensions:	[0.5, 0.5, 0.5] (cm)
Masses:		[0.511, 105.66, 139.57, 493.7, 938.27] (MeV)
Pressure:	0.001 (bar)
Sampling size:	0.75 (cm)

Bins(x,y):	[300, 150]
SIMULATED EVENTS:	50

==================================================
Mass	P_true	P	dEdx	dEdx_trunc
0.511000	72.236672	76.198023	nan	nan
493.700000	3808.811439	3566.880666	nan	nan
493.700000	700.394535	801.706688	nan	nan
105.660000	133.935585	153.301751	nan	nan
139.570000	26317.521239	25468.871581	nan	nan
493.700000	405.818327	441.756736	nan	nan
938.270000	14747.752806	14598.187257	nan	nan
493.700000	2782.827001	2685.575256	nan	nan
105.660000	1659.050064	1858.664052	nan	nan
139.570000	23882.269396	25770.394722	nan	nan
493.700000	456.974480	449.178328	nan	nan
938.270000	2782.492625	2874.226987	nan	nan
493.700000	58191.646203	54658.434171	nan	nan
139.570000	117.295253	137.676234	nan	nan
938.270000	32689.905267	35223.985278	nan	nan
0.511000	6159.067731	6487.031967	nan	nan
0.511000	1516.227705	1365.147930	nan	nan
139.570000	5143.435810	5022.079555	nan	nan
105.660000	64.020960	64.821053	nan	nan
0.511000	63.500151	62.317847	nan	nan
493.700000	542.395149	500.930851	nan	nan
938.270000	807.453731	745.649062	nan	nan
139.570000	220.740380	233.119610	nan	nan
139.570000	11346.113611	10386.850129	nan	nan
105.660000	116.768742	123.348216	nan	nan
493.700000	15801.042383	15340.450190	nan	nan
0.511000	22.997693	25.536906	nan	nan
139.570000	1310.871317	1265.353479	nan	nan
0.511000	323.323506	355.488699	nan	nan
938.270000	21654.271497	19460.172208	nan	nan
0.511000	1426.825817	1536.543181	nan	nan
105.660000	1355.294316	1268.860815	nan	nan
493.700000	1173.531178	1330.259839	nan	nan
0.511000	10249.972999	10011.754351	nan	nan
493.700000	16303.073386	16223.473670	nan	nan
105.660000	3236.136277	3194.718287	nan	nan
139.570000	76697.058615	87418.367550	nan	nan
139.570000	286.035279	265.256604	nan	nan
0.511000	17.914728	18.134071	nan	nan
493.700000	479.206447	483.368045	nan	nan
493.700000	393.800071	398.147928	nan	nan
139.570000	63406.835431	62363.390476	nan	nan
0.511000	583.655805	569.462510	nan	nan
105.660000	1704.232654	1793.460891	nan	nan
0.511000	15.779036	17.094995	nan	nan
139.570000	664.803027	585.066406	nan	nan
139.570000	679.205412	800.862718	nan	nan
105.660000	102.103604	91.348481	nan	nan
139.570000	9081.743029	10372.374556	nan	nan
139.570000	22338.196461	22738.849970	nan	nan
