
INPUTS
==================================================
Energy range:	10.0 - 100000.0 (10000) (MeV)
Dimensions:	[50, 50, 50] (cm)
Masses:		[0.511, 105.66, 139.57, 493.7, 938.27] (MeV)
Pressure:	0.001 (bar)
Sampling size:	0.75 (cm)

Bins(x,y):	[300, 150]
SIMULATED EVENTS:	500

==================================================
Mass	P_true	P	dEdx	dEdx_trunc
938.270000	52259.821006	46251.939780	0.001600	0.000000
938.270000	95035.314677	94609.221428	0.000000	0.000000
0.511000	92.914829	90.033640	0.000533	0.000000
938.270000	1144.558560	1163.294774	0.000533	0.000000
139.570000	298.255507	294.400580	0.016000	0.000000
139.570000	1910.404760	2001.060208	0.000533	0.000000
938.270000	98567.327202	96117.709749	0.002133	0.000000
0.511000	51.239114	45.992711	0.001067	0.000000
105.660000	399.350463	401.309982	0.000000	0.000000
139.570000	5236.542865	5260.143753	0.000000	0.000000
493.700000	697.536546	704.640050	0.001067	0.000000
139.570000	409.206301	421.665250	0.001067	0.000000
105.660000	348.047491	310.632548	0.000533	0.000000
493.700000	1319.298253	1436.540734	0.006400	0.000000
493.700000	8538.614914	9427.378187	0.002133	0.000000
0.511000	89.654137	81.990866	0.000533	0.000000
0.511000	22612.326512	23749.428080	0.015467	0.000000
139.570000	235.363284	243.614448	0.010667	0.000000
105.660000	358.415204	340.994137	0.000000	0.000000
493.700000	3571.811153	3476.486992	0.002133	0.000000
105.660000	40690.082273	47619.734689	0.001067	0.000000
0.511000	35.667804	35.921145	0.000533	0.000000
938.270000	922.989166	890.914995	0.000533	0.000000
105.660000	55.501924	54.776691	0.004267	0.000000
493.700000	9481.952622	8957.164329	0.009600	0.000000
139.570000	431.577466	405.068110	0.000533	0.000000
105.660000	679.024326	720.578887	0.000000	0.000000
938.270000	5717.684136	5779.687436	0.000533	0.000000
938.270000	3790.386704	4213.529978	0.000533	0.000000
493.700000	1687.132288	1617.268350	0.000000	0.000000
493.700000	435.047285	548.766711	0.001600	0.000000
139.570000	331.438461	377.787401	0.008533	0.000000
139.570000	750.406248	747.363368	0.000000	0.000000
105.660000	25406.593361	27653.940702	0.001067	0.000000
105.660000	6607.329415	7446.752981	0.000533	0.000000
493.700000	33115.082724	35800.959120	0.001600	0.000000
0.511000	251.086723	290.903505	0.001067	0.000000
493.700000	1862.268657	2081.485748	0.001067	0.000000
938.270000	77914.523062	68636.395852	0.000000	0.000000
105.660000	10382.946723	10472.366060	0.001067	0.000000
938.270000	1842.987539	1938.910782	0.000000	0.000000
105.660000	12303.768128	13221.988020	0.000533	0.000000
0.511000	168.051728	188.752350	0.000000	0.000000
938.270000	9252.472582	7898.022286	0.006400	0.000000
0.511000	396.934558	370.282396	0.002133	0.000000
139.570000	2729.235677	2148.191572	0.005333	0.000000
105.660000	140.690663	153.328119	0.001067	0.000000
105.660000	53.093494	49.177930	0.014400	0.000000
938.270000	11573.701014	10263.034740	0.000533	0.000000
105.660000	55.339482	59.309126	0.002133	0.000000
139.570000	23621.265266	29073.481998	0.019733	0.000000
105.660000	4480.281193	4406.507934	0.002133	0.000000
105.660000	515.833838	579.335610	0.000533	0.000000
938.270000	2918.473961	2888.424645	0.000000	0.000000
493.700000	2647.100085	2576.501092	0.001067	0.000000
0.511000	76.312564	75.270417	0.000533	0.000000
0.511000	13302.371560	13358.667957	0.005333	0.000000
493.700000	38157.208211	32083.533800	0.001600	0.000000
139.570000	304.708309	315.315167	0.000533	0.000000
105.660000	4460.168289	4660.933229	0.000533	0.000000
493.700000	24122.655107	25578.705313	0.000533	0.000000
105.660000	48.989147	44.879313	0.010133	0.000000
105.660000	121.315419	117.223603	0.001600	0.000000
139.570000	13391.782699	12370.483805	0.000533	0.000000
105.660000	59041.074321	64171.653284	0.001067	0.000000
938.270000	1214.160936	1195.615722	0.005867	0.000000
493.700000	47003.293869	44116.799007	0.000533	0.000000
139.570000	283.123401	293.535621	0.001067	0.000000
139.570000	379.275850	429.240766	0.001067	0.000000
105.660000	3374.787361	3064.006529	0.000000	0.000000
105.660000	78518.836106	72653.711034	0.001600	0.000000
938.270000	80071.641858	76057.553846	0.000533	0.000000
493.700000	2961.479584	3014.999670	0.000000	0.000000
938.270000	23825.102375	23593.475426	0.009067	0.000000
105.660000	63.263171	68.310403	0.006400	0.000000
139.570000	217.068638	209.071231	0.000533	0.000000
938.270000	800.717843	679.351523	0.001067	0.000000
938.270000	2426.693744	2330.481314	0.001067	0.000000
105.660000	56.681593	54.202291	0.002667	0.000000
0.511000	55.018309	50.487101	0.012800	0.000000
0.511000	184.048450	180.383273	0.000000	0.000000
0.511000	161.990964	149.557041	0.001067	0.000000
0.511000	908.740807	878.580009	0.000533	0.000000
139.570000	206.623378	227.547534	0.000000	0.000000
493.700000	724.217851	737.037881	0.000533	0.000000
938.270000	3034.389384	3379.204199	0.000533	0.000000
0.511000	32.810621	34.171477	0.000533	0.000000
493.700000	8553.500410	6969.880155	0.000533	0.000000
938.270000	929.969678	917.698268	0.003200	0.000000
938.270000	1188.814559	1019.456292	0.000000	0.000000
938.270000	842.157929	986.674973	0.000000	0.000000
139.570000	2225.610658	2187.012268	0.001067	0.000000
938.270000	1991.312623	2051.217436	0.000000	0.000000
0.511000	860.699006	811.017803	0.000533	0.000000
938.270000	900.011402	857.435201	0.000000	0.000000
493.700000	28591.932626	32163.433102	0.000533	0.000000
105.660000	586.182929	563.998504	0.001600	0.000000
105.660000	66.092140	56.555332	0.019200	0.000000
938.270000	2314.975797	2358.853641	0.001600	0.000000
105.660000	1524.381464	1438.160672	0.011200	0.000000
139.570000	765.180085	711.613196	0.001600	0.000000
105.660000	44116.849641	45659.558379	0.001600	0.000000
493.700000	914.122518	896.912688	0.000000	0.000000
493.700000	746.838147	639.962701	0.000533	0.000000
139.570000	1984.049285	2244.892671	0.000533	0.000000
938.270000	5026.502632	5500.922064	0.000533	0.000000
105.660000	17336.859772	18014.206777	0.000000	0.000000
0.511000	25.719832	24.815264	0.032000	0.000000
105.660000	338.279272	323.350917	0.003200	0.000000
938.270000	3572.902245	3627.052108	0.002133	0.000000
938.270000	1431.136341	1488.566621	0.000000	0.000000
139.570000	146.723432	154.411596	0.000000	0.000000
105.660000	4218.309821	4089.415268	0.000533	0.000000
938.270000	4680.982673	4795.262540	0.000533	0.000000
493.700000	65113.924085	73385.111206	0.000533	0.000000
105.660000	41712.096339	48510.294855	0.000533	0.000000
139.570000	71850.398088	71483.078256	0.006400	0.000000
0.511000	992.711867	1021.511571	0.001600	0.000000
105.660000	177.331178	185.074646	0.002667	0.000000
105.660000	34775.511758	38517.981697	0.001600	0.000000
493.700000	1869.110956	1875.002509	0.001067	0.000000
938.270000	3409.538527	3937.188481	0.000000	0.000000
0.511000	106.021884	120.079440	0.000000	0.000000
0.511000	1408.550482	1546.357002	0.001600	0.000000
