
INPUTS
==================================================
Energy range:	10.0 - 100000.0 (10000) (MeV)
Dimensions:	[50, 50, 50] (cm)
Masses:		[0.511, 105.66, 139.57, 493.7, 938.27] (MeV)
Pressure:	10 (bar)
Sampling size:	0.75 (cm)

Bins(x,y):	[300, 150]
SIMULATED EVENTS:	500

==================================================
Mass	P_true	P	dEdx	dEdx_trunc
493.700000	9863.390863	10313.762911	44.672067	44.352260
139.570000	93464.251138	89603.275722	24.681048	24.274750
0.511000	28784.164272	23790.032767	24.792703	24.134130
0.511000	12656.912125	11592.366123	25.511715	24.437620
139.570000	905.461357	851.888781	43.752939	42.935380
139.570000	737.675957	799.380321	43.426606	43.084010
139.570000	67620.644821	72507.020194	44.518339	44.273940
139.570000	15825.219703	13927.936393	46.052915	45.828770
0.511000	103.810001	115.502412	24.261939	23.599240
139.570000	149.229344	171.287308	42.711370	42.886430
105.660000	9723.385736	9237.946418	43.503200	43.305620
0.511000	141.411342	134.487479	24.743618	24.153710
0.511000	178.553330	182.531457	24.343927	23.543170
139.570000	50718.396410	47936.726954	46.615503	46.356540
0.511000	893.806258	753.650934	24.647606	24.580910
0.511000	12750.521743	13032.139675	24.141655	23.319780
105.660000	207.516090	174.113909	43.540418	42.988780
493.700000	35416.698699	37638.269267	43.699000	43.484510
139.570000	49978.425289	54228.677019	44.393739	44.188500
105.660000	48.518413	47.941857	43.830073	43.850300
105.660000	1484.241307	1332.885430	43.689830	43.223740
139.570000	504.099177	528.041333	43.858661	43.789780
938.270000	60576.486719	60803.465707	43.985958	43.477390
938.270000	48218.942126	48011.785782	43.924467	43.335880
938.270000	4336.197911	4276.124054	44.295030	43.883230
105.660000	37461.241679	41250.203737	45.223327	44.418120
938.270000	28385.507765	30740.960286	43.907745	43.458700
0.511000	3583.582059	4159.577916	24.441558	23.552960
139.570000	8408.149666	9808.942720	44.712521	43.792450
0.511000	126.086903	122.879972	24.894648	23.993510
139.570000	377.980169	362.508635	44.485436	44.147560
493.700000	415.007181	466.058147	43.920691	43.419540
938.270000	4137.302278	4603.686535	43.990273	43.905480
139.570000	149.638382	135.438640	43.462206	43.639370
139.570000	18149.524356	17273.804251	43.523158	43.675860
139.570000	136.827773	134.186448	43.589503	43.415090
139.570000	9589.985022	9983.790108	43.887788	42.898000
0.511000	135.814816	127.602940	24.570473	24.267630
493.700000	744.183580	757.921539	44.721152	44.149340
493.700000	3300.427426	3688.580144	44.511867	44.349590
493.700000	515.750153	592.156023	43.901812	43.632250
139.570000	20106.877091	19338.884760	42.912024	42.881090
493.700000	40592.169952	47936.035167	43.291758	43.254890
0.511000	89.818518	90.210665	24.138958	23.685570
493.700000	24584.368189	24801.494973	44.028570	43.723920
0.511000	276.532780	293.033666	24.489564	24.615620
0.511000	414.473848	431.188403	23.430733	23.145340
139.570000	3172.126750	3346.780772	44.920727	44.106620
139.570000	140.792640	139.297815	43.296073	42.658590
105.660000	137.418872	147.071342	45.324733	45.166610
0.511000	18011.001988	16127.096283	24.045642	23.709600
938.270000	19950.125831	19568.893284	44.867867	44.556070
0.511000	2147.516569	1757.820241	23.753830	22.473390
105.660000	4472.224920	4053.928329	43.552824	42.706650
938.270000	3910.826787	3815.381021	43.525855	43.162330
0.511000	515.467997	540.377438	24.744158	24.035340
938.270000	1870.092976	1617.951158	44.609497	44.056780
105.660000	2771.995969	2619.261779	43.387230	43.087570
493.700000	9950.318263	10308.929599	45.606297	44.984160
139.570000	13990.927078	15317.588933	43.484861	43.084900
105.660000	515.043069	516.307389	45.090636	43.970450
139.570000	7757.142843	8378.130463	43.667715	42.940720
0.511000	218.750172	250.413965	25.155176	24.785610
139.570000	99771.699864	89998.800861	27.005836	26.220290
493.700000	97230.770807	111979.515167	43.229727	42.605190
938.270000	50311.599303	55124.040909	44.682855	44.134210
938.270000	813.829608	889.343602	44.018321	43.865430
493.700000	33508.147717	37439.676571	45.177479	44.962800
938.270000	51044.908491	47454.777366	43.843018	43.817370
0.511000	17247.912453	15926.279664	25.303509	24.746450
105.660000	11118.121207	10352.089317	44.722770	44.941440
139.570000	357.245211	369.113545	44.667752	44.373620
938.270000	846.172046	901.294579	44.526430	43.894800
493.700000	14937.145352	15751.885730	44.476806	43.989140
0.511000	20.643329	20.190246	24.402721	23.566310
139.570000	2549.201864	2929.692791	44.018861	43.515660
493.700000	742.420405	719.532848	44.413697	43.738160
493.700000	4836.379634	5419.184618	43.903970	43.291380
938.270000	57838.947725	56063.788511	43.571164	42.897110
105.660000	58500.695665	49502.833274	24.883861	24.355740
0.511000	34384.292262	31754.777230	24.685364	24.169730
938.270000	1160.173985	1211.192196	44.947697	44.333570
938.270000	7005.978627	6485.325584	44.326315	43.838730
139.570000	8006.810880	8857.915350	44.277770	43.692770
938.270000	49768.664080	49044.685290	42.941152	42.194900
139.570000	55803.414181	49740.106740	45.721188	45.149700
139.570000	148.334239	144.923044	43.991352	43.316300
938.270000	89077.686767	90097.345170	43.578176	43.785330
493.700000	761.197073	846.123646	44.759448	43.858310
139.570000	597.472964	728.330868	43.886170	43.393730
139.570000	50208.495846	55394.355228	45.461739	45.352620
139.570000	439.259183	381.249635	43.066291	42.676390
0.511000	92384.467913	103693.187193	24.834776	24.053140
105.660000	984.295051	1010.206947	44.091679	43.488070
105.660000	2363.960783	2238.750524	43.003721	42.736910
938.270000	90139.586826	98321.843958	44.492988	44.053220
105.660000	5680.059331	5023.437832	43.593279	43.213950
0.511000	2763.913442	2432.037836	23.748976	23.097280
493.700000	3018.315319	2880.938479	44.506473	43.429330
105.660000	4244.930235	4280.780694	45.349545	44.857780
938.270000	2075.781545	2153.587226	44.090061	43.621570
493.700000	23393.791576	24285.644619	44.230842	43.816480
493.700000	19277.405642	17379.788624	45.380291	44.963690
938.270000	15987.862394	15473.375649	47.181867	46.745470
105.660000	3119.986732	2600.833937	45.905121	44.471520
493.700000	553.276433	521.097337	45.000558	44.226770
938.270000	10347.247362	10928.733154	44.642400	44.909400
105.660000	2799.189694	2976.867154	44.276691	43.957100
139.570000	301.558224	305.743032	43.081933	42.384470
493.700000	7503.095134	7094.377352	44.467636	43.960660
105.660000	133.935585	124.932169	43.920691	43.214840
139.570000	543.999766	612.796441	45.012964	44.210750
938.270000	1258.151391	1222.082736	43.514527	42.719110
105.660000	4594.640517	4495.439597	43.017206	42.601630
