
INPUTS
==================================================
Energy range:	10.0 - 100000.0 (10000) (MeV)
Dimensions:	[50, 50, 50] (cm)
Masses:		[105.66, 139.57, 493.7, 938.27] (MeV)
Pressure:	10 (bar)
Sampling size:	0.75 (cm)

Bins(x,y):	[300, 150]
SIMULATED EVENTS:	500

==================================================
Mass	P_true	P	dEdx	dEdx_trunc
105.660000	289.333701	277.122845	15.125685	14.628040
105.660000	58.316896	50.975316	46.193697	45.569780
139.570000	4300.838323	4081.638280	16.766521	16.648340
493.700000	6913.054332	6439.068858	16.695861	16.342180
493.700000	81474.640701	85409.467938	18.849121	17.833820
938.270000	8053.241267	8010.658648	16.298327	15.873150
139.570000	710.754734	702.750245	14.935818	14.286280
139.570000	937.196038	1079.502551	15.433139	14.647620
938.270000	1331.018497	1113.659152	18.713194	18.167570
493.700000	846.641438	939.830570	16.798345	16.375110
139.570000	149.392796	164.830056	21.904248	21.273670
139.570000	4109.664099	4503.908078	17.235255	16.731110
938.270000	6831.825468	7551.445099	15.870588	15.267060
938.270000	1038.171658	1195.074492	21.980303	21.602970
493.700000	3039.947335	3317.687572	16.555618	15.414800
938.270000	1852.359578	1902.622186	17.328030	16.752470
493.700000	495.464401	587.554578	23.577448	22.826720
105.660000	3835.479289	3873.089108	17.533539	17.445780
139.570000	578.554443	540.180097	14.565794	14.320100
938.270000	1050.278646	907.714424	20.993752	20.772600
493.700000	475.624659	442.856040	24.325048	23.487100
105.660000	1825.359930	1829.067546	16.739552	15.995080
938.270000	7466.459341	8218.330184	14.885655	14.713480
139.570000	2008.111536	1998.517508	16.486576	15.631070
938.270000	31175.734910	29512.923931	18.022770	17.410180
105.660000	100.478065	102.838819	23.398909	23.317110
938.270000	11475.513136	10898.294720	16.840958	16.500600
493.700000	74008.860708	78033.937144	18.158158	17.492060
105.660000	6128.652508	6718.586007	18.430012	17.991350
139.570000	632.238920	751.094804	14.764830	14.353920
493.700000	14121.904198	13809.587468	18.070236	16.847700
105.660000	2145.884645	2395.501281	17.415412	16.590490
493.700000	52823.940561	54368.236422	17.675400	17.351440
105.660000	1833.325859	2136.754960	17.244424	16.594940
938.270000	1218.333920	1193.068717	17.845309	17.606870
938.270000	12552.735185	12077.076246	16.371685	16.052930
105.660000	96.958316	109.264195	25.486903	25.080200
105.660000	1076.372146	1096.814380	15.519442	15.041000
105.660000	2663.570196	2375.207670	17.316703	16.859270
105.660000	145.993352	141.497234	18.896048	18.294840
105.660000	2201.254608	2046.550991	17.052939	16.782730
493.700000	2776.289346	2833.708367	15.267545	14.496320
493.700000	29459.409955	30180.198122	17.890618	17.694980
139.570000	1337.365245	1053.911482	16.112236	15.671120
493.700000	4828.298581	5228.755149	16.183436	16.068060
938.270000	2279.659517	2154.446526	15.131079	14.895930
139.570000	1699.226530	1716.052939	16.824776	15.957700
493.700000	50055.626995	55070.568841	18.825927	18.469280
493.700000	1423.002964	1232.767113	14.729230	14.245340
105.660000	85.364656	87.291594	28.511285	28.004740
938.270000	983.871685	1102.685744	23.623836	22.614900
105.660000	940.348452	1091.647526	16.956927	16.460550
493.700000	1060.810686	1175.345661	16.109000	15.805510
938.270000	819.403660	693.581690	26.684897	26.179350
139.570000	6195.286119	4933.407608	17.198576	16.754250
493.700000	12932.564605	12126.464890	17.837758	17.228620
493.700000	7944.362729	8066.866933	17.187788	16.520180
139.570000	456.099035	487.947056	15.272400	14.476740
493.700000	98848.109654	96297.423227	18.377152	18.088360
105.660000	2955.088660	2924.586434	17.436448	16.993660
493.700000	26427.382046	22696.172279	18.109612	17.298930
938.270000	16949.222989	17381.066559	17.287576	16.683050
938.270000	15031.626015	16468.434410	16.897055	16.287890
938.270000	8533.796434	7672.381054	16.929418	16.515730
139.570000	1263.779418	1229.097081	15.833370	15.183400
938.270000	98118.676734	118156.564684	17.371182	16.691950
938.270000	80217.579998	70439.360553	17.723945	17.373690
105.660000	3037.732706	2817.265930	17.716394	17.177890
938.270000	71463.889927	69178.185552	17.315624	17.034600
105.660000	61.321363	53.054493	42.390430	41.940360
938.270000	18177.366350	17184.593594	16.893818	16.158840
105.660000	62160.927130	67149.224798	20.409588	19.919980
139.570000	626.994460	673.992854	15.820424	15.610600
139.570000	17291.348920	16542.016107	18.219109	17.709220
139.570000	621.800829	602.695201	15.461188	15.026760
493.700000	3704.726853	3433.260252	16.786479	16.488140
105.660000	68.960963	80.075211	35.291467	34.669950
938.270000	2594.470799	2475.480572	14.529115	13.908920
105.660000	1137.819139	927.996382	16.522715	16.177530
938.270000	4115.524370	4663.038576	15.304764	14.932420
105.660000	179.948052	144.761284	16.456370	15.688920
139.570000	137.343647	131.020495	23.348206	22.949540
938.270000	3243.306670	3703.193365	15.738976	15.229680
139.570000	559.923002	527.217281	15.693667	15.403230
938.270000	78770.225153	87421.138350	18.324830	18.082130
139.570000	179.543062	168.506051	19.324327	18.984590
139.570000	381.360286	413.892701	15.119212	14.864780
105.660000	96.037955	86.203650	25.155715	24.628080
938.270000	2169.032623	1965.489278	15.048012	14.442030
938.270000	2122.467469	2064.444207	15.751921	15.223450
493.700000	534.405217	439.755702	22.199836	21.802330
938.270000	837.724354	875.759479	26.562455	26.150870
493.700000	4308.400222	4759.447799	15.312315	15.008070
105.660000	2605.244744	2518.290376	18.456982	17.847170
493.700000	24275.568583	20773.192331	18.013061	17.600640
938.270000	4532.429692	5260.323124	15.268085	14.871900
493.700000	529.738087	457.623357	22.025073	21.705320
105.660000	476.883001	472.165496	15.648358	14.968020
938.270000	1082.815526	1033.315614	20.180885	19.810510
938.270000	3538.976898	3844.869530	14.713048	14.369050
105.660000	707.886377	748.024638	16.144600	15.748550
139.570000	6008.473190	5214.679754	17.832364	17.104910
139.570000	14144.897867	13798.199200	18.252552	17.117370
105.660000	606.287836	532.337739	15.330655	14.577310
493.700000	450.714230	440.912339	25.006842	24.658340
139.570000	2580.573037	2610.554476	17.306994	16.852150
493.700000	52535.496406	52647.322672	17.496321	17.000780
105.660000	183.512769	219.273831	16.826933	16.250510
105.660000	118.130113	98.081592	21.777491	21.236290
105.660000	202.211373	222.547542	16.149994	15.318680
105.660000	127.576795	130.058274	20.597836	19.434040
105.660000	4652.935211	5238.421723	17.542170	16.913560
139.570000	220.475554	241.926998	17.638721	17.153860
105.660000	7780.121491	7881.333079	17.973685	17.721680
938.270000	72775.416943	71878.900205	17.437527	16.977640
105.660000	25570.260725	27115.208499	17.929455	17.448450
139.570000	2221.755564	2238.584548	17.715315	17.472480
493.700000	713.227917	674.478335	18.936503	18.058100
139.570000	3994.212057	4144.809185	17.876055	17.363900
938.270000	45965.269866	43865.098062	17.305376	17.084440
105.660000	62.268389	53.170916	42.329479	42.100560
139.570000	1418.036902	1548.327169	16.665115	16.361760
493.700000	917.555249	787.787680	16.419152	15.664890
493.700000	1766.975582	1351.430217	14.484345	14.000590
139.570000	14886.363670	16426.057420	17.608515	17.265110
139.570000	37391.954683	33832.877728	17.586939	17.547240
493.700000	1813.875342	1899.964051	15.497327	15.077490
139.570000	24547.541868	29087.430011	18.691618	17.871200
938.270000	1718.859253	1764.213643	16.812370	16.481910
493.700000	483.339725	378.377974	23.983073	23.770120
105.660000	820.299218	802.196998	15.505958	15.004510
139.570000	387.165288	397.517371	14.973576	14.398420
139.570000	22134.649963	20172.846885	17.952648	17.567710
493.700000	2375.934216	2481.803846	14.748109	14.027290
938.270000	1171.394076	1204.637661	19.590788	19.082490
139.570000	164.857743	170.124687	20.686836	20.218130
139.570000	758.638828	682.870451	15.701218	15.278630
493.700000	1292.638378	1271.562054	16.406745	15.438830
938.270000	5504.745910	5877.866241	14.684461	14.211520
105.660000	65.632696	58.100222	39.162158	38.750600
105.660000	167.629178	165.801271	18.033558	17.557030
105.660000	97111.621027	94192.513161	21.193867	20.751240
105.660000	341.903062	364.626924	15.306382	14.840750
938.270000	2101.711723	1955.084768	15.450400	14.881690
938.270000	6312.360530	5724.672450	15.307461	14.944880
493.700000	56774.268274	57517.869159	18.078867	17.524100
493.700000	84746.655959	81513.004067	18.118782	17.601530
938.270000	1739.348391	1641.486293	16.187752	16.059160
493.700000	797.667923	617.313043	17.857176	17.589960
139.570000	12888.825090	12083.606170	17.753073	17.486720
105.660000	9504.411633	8396.839101	18.070776	17.935280
139.570000	872.848807	868.478941	15.562594	15.364960
139.570000	49658.101476	46119.501058	18.700788	18.060770
493.700000	4832.337264	5686.667943	15.949879	15.518930
938.270000	1272.761970	1161.386280	18.702945	18.506660
938.270000	13833.886813	14746.168576	16.641382	16.222920
493.700000	8189.441655	7343.786148	17.380352	16.924240
493.700000	25673.846820	26093.299952	18.132806	17.888110
493.700000	2206.918247	2099.497155	14.432564	13.990800
105.660000	71.214465	67.995192	35.724600	35.382840
493.700000	592.861312	569.456029	20.931182	20.405920
105.660000	31348.247854	26764.519490	19.184085	18.876900
938.270000	12617.476468	11748.657397	16.837182	16.288780
938.270000	59975.114164	59435.256556	18.737467	18.071450
105.660000	1213.323739	1380.237940	17.028667	16.499710
105.660000	55.393571	58.098041	49.725109	49.045230
105.660000	838.612922	1062.824502	15.058261	14.932420
105.660000	280.570312	258.508019	14.987600	14.447370
938.270000	27028.069625	24427.485255	17.336661	17.011460
105.660000	49.560575	52.120578	57.382885	57.291080
493.700000	587.233321	447.735324	20.546594	19.969820
139.570000	1339.599360	1365.247196	16.115473	15.534950
105.660000	1476.603157	1263.654400	16.474709	16.031570
105.660000	61.808124	72.434459	42.012855	41.583470
105.660000	113.915416	97.183238	21.644800	21.448110
493.700000	802.500131	730.510262	17.427279	16.898430
493.700000	47693.905217	53658.875070	18.896588	18.228090
105.660000	683.923219	795.758476	15.032370	14.311200
139.570000	14326.694544	16785.229852	18.477479	17.890780
139.570000	258.996389	244.661922	15.406170	14.942210
493.700000	763.471672	790.853207	17.189945	16.838800
493.700000	8449.873715	7911.610125	17.553497	17.269560
139.570000	298.255507	284.334833	16.727145	16.021780
105.660000	241.667130	238.645136	15.443927	14.936870
493.700000	27876.283921	30118.981181	17.390600	16.780060
105.660000	5664.671039	5779.934731	18.143055	17.777750
139.570000	22605.625355	23620.812633	18.539509	18.188930
938.270000	38593.568245	34938.919983	18.103139	17.522320
493.700000	1038.431924	1369.487284	15.868970	15.594580
938.270000	1401.719280	1586.223721	17.974764	17.410180
139.570000	68559.498594	67930.441025	19.070273	18.643720
938.270000	19277.721138	21171.300842	16.466079	16.217580
938.270000	7565.015447	7185.800649	15.854945	15.597250
493.700000	40187.867670	43470.976797	18.728836	18.275260
493.700000	78114.885258	74900.112658	17.827509	17.347880
938.270000	2121.075861	2339.697018	15.521600	14.896820
139.570000	10397.540701	10336.902081	17.515200	16.862830
139.570000	277.586050	225.677742	16.407285	15.766350
493.700000	44786.991831	50949.852256	17.769794	17.355890
105.660000	13729.529385	13254.208374	18.243921	17.541900
938.270000	1710.322514	1558.325592	16.222273	15.792160
105.660000	24921.875637	26176.294399	19.275782	18.398080
105.660000	3880.445399	4339.068106	17.151648	16.522850
493.700000	562.548587	662.602167	21.489994	20.646220
938.270000	1567.249305	1745.586704	17.477442	17.163650
139.570000	36813.149623	34914.860648	18.685685	18.245000
105.660000	20018.070249	19072.859909	19.009861	18.230760
493.700000	2497.627831	2307.408507	14.781012	14.365490
105.660000	224.216618	215.723564	15.884073	15.897180
938.270000	808.300422	858.236739	27.288479	26.831720
139.570000	4461.167253	4306.227763	18.586976	17.703880
938.270000	1237.333601	1320.249342	18.940279	18.397190
493.700000	46746.927155	51193.349009	17.794606	17.574830
938.270000	757.336679	732.055940	28.291752	28.059920
139.570000	1111.229935	1157.645181	16.645697	15.844670
105.660000	23870.413849	26049.108491	18.460758	17.536560
493.700000	63642.756911	73023.658888	18.429473	17.772410
938.270000	19260.794928	22617.966241	17.299442	16.762260
139.570000	7992.326336	7641.260466	17.382509	17.359450
493.700000	7210.969799	7574.915993	17.162436	16.751580
105.660000	627.679851	548.740298	16.112236	15.672010
105.660000	8090.251531	7751.193529	18.244461	17.816910
139.570000	1094.980277	1117.860261	16.420770	15.817080
938.270000	8612.137209	8900.927071	16.580970	15.855350
139.570000	212.838557	233.985360	16.792412	16.545100
493.700000	1297.035402	1275.421680	15.551267	14.762430
493.700000	98215.956228	95701.166724	18.609091	18.132860
139.570000	41669.327181	44367.372531	18.487188	17.917480
938.270000	11044.622232	11619.958465	17.810248	17.007010
493.700000	35513.356510	39607.101046	17.770333	17.339870
493.700000	1442.914943	1644.684251	15.215764	14.738400
105.660000	47004.922892	50435.905373	20.050352	19.155470
493.700000	1863.634728	1942.999142	15.011873	14.400200
938.270000	4487.563161	5534.791751	15.882455	15.012520
105.660000	9714.529624	10237.739553	18.179194	17.726130
938.270000	2734.444902	2952.578842	15.100333	14.498100
139.570000	420.505351	360.878819	15.582012	14.830960
938.270000	9705.428202	9364.228804	17.573455	16.978530
139.570000	41478.494090	37665.885443	18.644152	18.306410
493.700000	20920.823679	23299.321131	17.957503	17.250870
139.570000	10435.412812	9671.340882	17.685648	17.323850
105.660000	7640.006650	8029.921800	18.458061	17.837380
493.700000	788.112066	677.595626	18.155461	17.762620
493.700000	5180.732734	5290.835105	16.556697	16.025340
938.270000	7627.344622	6026.595237	16.096594	16.001310
139.570000	166.248640	169.871189	20.735921	20.021440
139.570000	275.653700	297.023416	15.734661	15.203870
139.570000	817.317463	946.557641	15.275636	14.939540
105.660000	21560.630055	22326.168514	18.957000	18.168460
105.660000	107.814004	87.478734	23.867103	22.846300
105.660000	10927.047021	9255.701353	18.086418	17.637130
105.660000	386.142533	384.676616	16.183436	15.927440
493.700000	703.678671	615.727599	18.518473	17.820470
938.270000	3617.851648	3880.997705	14.859764	14.313870
493.700000	391.163849	383.380861	29.961176	29.807880
493.700000	21727.025486	22175.147949	18.328067	17.878320
139.570000	3864.889710	3871.282022	18.225582	17.808010
105.660000	7577.792057	6803.545810	17.569679	17.093340
105.660000	63198.400233	62578.821438	19.051933	18.611680
139.570000	198.761610	229.268551	18.408436	17.872980
