
INPUTS
==================================================
Energy range:	10.0 - 100000.0 (10000) (MeV)
Dimensions:	[50, 50, 50] (cm)
Masses:		[105.66, 139.57, 493.7, 938.27] (MeV)
Pressure:	8.5 (bar)
Sampling size:	0.75 (cm)

Bins(x,y):	[300, 150]
SIMULATED EVENTS:	500

==================================================
Mass	P_true	P	dEdx	dEdx_trunc
938.270000	58577.672000	59167.080148	16.234139	15.503800
105.660000	52.964526	49.708199	44.545309	44.160910
493.700000	25860.154200	25270.497472	15.732503	14.864780
493.700000	1682.287445	1519.254381	12.832182	12.387020
105.660000	1482.965362	1520.443392	13.755624	13.366020
139.570000	7884.538402	8072.287113	14.570648	14.087810
105.660000	38261.102559	35964.024679	16.146758	15.656880
493.700000	532.065422	521.159327	18.821612	18.371380
105.660000	15307.906662	17114.674360	14.406133	13.809240
938.270000	39720.681911	36930.519630	14.763212	14.445590
493.700000	17654.947419	17734.621845	15.213606	14.950220
493.700000	1305.884735	1258.274986	12.270673	11.854800
105.660000	157.551657	155.784922	15.976848	15.302660
105.660000	88.851520	79.234515	22.924242	22.557940
493.700000	12693.906365	13192.059263	14.504303	14.076240
105.660000	63840.931807	59797.137531	17.301061	16.664360
139.570000	1629.901112	1456.106329	14.379703	14.185710
105.660000	20956.634895	22169.350153	15.683418	15.105970
493.700000	2423.767875	2615.710314	13.242661	12.828460
938.270000	2644.997999	2750.748584	13.303073	12.987770
493.700000	40555.245712	41286.804217	15.294515	14.870120
938.270000	4995.316968	5380.286686	12.409297	11.950920
938.270000	8903.726840	10051.296801	14.318212	13.865310
938.270000	3071.338841	2553.124170	13.396927	12.929030
105.660000	182.054051	173.140537	13.681727	13.224510
493.700000	1331.060353	1159.898046	13.383982	12.763490
493.700000	846.123020	846.592628	13.512358	12.853380
493.700000	5090.073942	5505.516617	14.668279	14.066450
105.660000	93.437020	106.830199	22.579030	22.118280
139.570000	31468.481392	37489.668814	16.164558	15.602590
493.700000	5145.990841	6114.554343	13.502109	13.131950
493.700000	6990.793272	6739.346633	14.172036	14.014830
139.570000	44968.983623	50533.276546	15.963364	15.784150
105.660000	102.432493	91.497511	20.408509	19.831870
139.570000	11387.486621	10547.382711	15.646200	14.943100
938.270000	53504.171582	49316.188382	15.844697	15.380980
493.700000	632.009704	595.356180	16.285382	15.875820
105.660000	18066.140922	19434.977927	16.074479	15.142460
938.270000	6988.910388	7331.325127	13.412030	13.071430
938.270000	2438.227214	2295.815106	13.033376	12.497380
938.270000	15562.675643	16577.976590	15.193109	14.828290
493.700000	612.569301	533.155677	16.982818	16.579810
139.570000	139.731993	137.191127	20.444648	19.644080
105.660000	78.337783	88.321995	27.113176	26.446350
493.700000	50560.409511	45504.670873	15.539939	15.030320
105.660000	593.573368	575.120819	13.505885	12.660250
493.700000	1363.372744	1416.735556	12.523648	12.026570
938.270000	28537.790536	33127.435900	14.901297	14.043310
493.700000	8643.389760	7174.289339	14.700642	13.941850
139.570000	34270.623931	31201.763305	16.491970	15.898070
938.270000	8146.917694	7645.648100	13.304152	12.751030
938.270000	74856.631750	77617.690669	15.013491	14.595110
139.570000	212.080538	163.583572	15.135394	14.488310
493.700000	19750.732303	18088.528065	14.420697	13.917820
938.270000	1148.438004	1140.099824	16.928879	16.634100
105.660000	85610.927135	82660.191607	17.169448	16.828120
105.660000	40764.918435	40751.152930	17.124139	16.484580
938.270000	65613.209928	61485.133302	14.467624	13.919600
938.270000	4960.498850	4231.441175	12.827327	12.432410
105.660000	11087.728856	10778.428448	14.847358	14.179480
938.270000	3115.506363	2851.111016	12.045206	11.472990
105.660000	10260.601014	11305.246269	16.078255	15.673790
493.700000	29009.236121	22054.004455	15.634873	14.998280
493.700000	18564.109485	17233.063122	14.858145	14.676990
493.700000	2566.136046	1744.328778	13.489164	12.833800
938.270000	1806.085982	1570.590687	13.922297	13.155090
938.270000	40115.859847	44652.524977	15.012952	14.312090
105.660000	95692.427422	95820.828642	17.635485	17.128050
139.570000	4113.327033	4458.331524	14.775618	14.382400
493.700000	502.479891	441.729859	18.746636	18.374050
139.570000	21319.436854	21822.971953	15.927224	15.305330
938.270000	27636.578145	27742.397464	15.238958	14.608460
493.700000	4046.766966	3913.567546	14.211412	13.366020
139.570000	217.068638	198.204046	15.367333	15.057910
938.270000	19671.348647	16807.023446	14.350036	14.031740
139.570000	42208.359342	36414.054475	15.557200	14.817610
493.700000	18299.549497	20823.397454	14.345721	13.847510
938.270000	20304.412666	20961.754218	14.391030	13.979230
139.570000	565.773230	548.866453	12.478339	12.092430
938.270000	2085.288295	2349.477248	12.947073	12.564130
493.700000	9924.156115	9845.641740	14.581436	14.187490
493.700000	3948.366652	3951.335820	13.504267	13.042950
938.270000	8033.322568	7664.558885	13.973539	13.528000
938.270000	22235.816216	22032.135953	15.809636	15.418360
105.660000	98.358686	96.731096	22.109758	21.584280
938.270000	25737.612882	28586.645639	13.917982	13.569830
938.270000	3144.626054	2930.533924	12.995618	12.597060
139.570000	13738.060748	13567.389386	14.465467	14.014830
493.700000	9044.563204	8611.455205	13.809024	13.321520
938.270000	86517.312257	88931.702773	16.098212	15.664000
938.270000	96168.976688	108349.476172	15.238418	14.840750
938.270000	3855.790665	3664.384177	12.954085	12.370110
105.660000	21839.106674	20179.313219	15.176388	14.425120
139.570000	216.033599	198.681032	15.327958	14.920850
493.700000	39535.053734	39728.008436	15.078758	14.649400
493.700000	2787.195224	2824.586722	13.083539	12.548110
105.660000	94728.794249	89839.261331	17.881988	17.602420
493.700000	6189.825149	6630.385495	14.090048	13.350000
493.700000	63179.093184	60560.785004	16.218497	15.476210
105.660000	54452.299914	51316.125484	16.456909	15.774360
139.570000	643.860374	741.628719	12.787412	12.321160
105.660000	690.517283	674.778908	12.840273	12.091540
139.570000	343.583003	302.210384	13.737824	13.174670
493.700000	2012.436368	1943.514449	12.737788	12.363880
493.700000	415.874358	525.039122	23.301818	22.791120
139.570000	64287.063637	63576.934224	16.585285	16.383120
493.700000	12090.263034	12606.829132	15.359242	14.701020
938.270000	9713.587110	9086.252536	14.264812	13.686420
938.270000	1880.834710	2090.496137	13.002091	12.891650
139.570000	213.599960	212.548641	14.748109	14.155450
493.700000	392.175330	372.224532	25.021406	24.801630
139.570000	29189.248221	33706.181743	15.401315	15.038330
105.660000	91811.280068	94640.565520	18.424618	18.011820
105.660000	624.712703	681.140398	12.903921	12.224150
938.270000	65851.993666	67032.521120	15.321485	15.089950
105.660000	261.708849	294.335144	13.548497	12.934370
493.700000	7999.688665	7693.277943	14.258339	13.673070
493.700000	10922.581058	11859.176955	15.113279	14.306750
139.570000	341.749520	375.793773	13.217309	12.716320
105.660000	3644.549693	3432.709764	14.708733	13.903580
105.660000	102.048913	105.006803	20.864836	20.267080
105.660000	300.712614	302.099090	12.897988	12.259750
493.700000	4615.591192	5436.249329	14.325764	13.178230
493.700000	1302.336126	1335.149392	13.161212	12.575700
105.660000	53068.532892	55281.920218	16.600388	16.214910
105.660000	729.852144	739.697188	13.147188	12.691400
139.570000	1774.761460	1987.348859	14.071170	13.833270
938.270000	49903.835973	47118.825710	16.017842	15.661330
139.570000	974.108419	876.730406	13.423358	12.929920
938.270000	2715.509307	2767.856810	12.869400	12.334510
493.700000	1247.139045	1147.521412	13.472982	12.939710
139.570000	262.093674	256.803863	13.869436	13.545800
105.660000	17163.141614	15291.224266	15.507036	14.683220
938.270000	4783.152477	4510.319073	12.647170	12.247290
139.570000	2125.803591	2437.477661	14.423933	14.397530
938.270000	3658.071764	3427.997405	13.070594	12.403040
493.700000	789.536293	780.376790	14.216267	13.823480
938.270000	48700.626704	50785.557692	14.998927	14.256020
105.660000	98.463376	94.851944	20.886952	20.445970
139.570000	363.833270	355.624238	12.580824	11.793390
139.570000	163.207487	169.929145	18.763897	18.625030
139.570000	1771.732373	2158.358524	14.110545	13.479940
105.660000	180.941813	205.442687	14.233527	13.754950
139.570000	145.608496	150.578604	19.387976	19.219550
493.700000	64816.974325	58811.079007	16.006515	15.617720
493.700000	87667.728066	78809.518260	15.809097	15.304440
139.570000	1777.796100	2222.695279	14.072248	13.727360
938.270000	3759.570616	3557.311232	12.561945	12.249960
493.700000	42097.375310	49019.277593	15.736279	15.016970
938.270000	928.468512	948.483394	20.339467	19.789150
105.660000	4557.560182	4589.728894	15.673170	15.396110
139.570000	2434.027461	2238.587065	15.242733	14.587100
105.660000	1247.778594	1539.006879	15.211988	14.674320
139.570000	44476.184870	47256.374212	15.589564	15.631960
493.700000	12990.070707	12874.680744	14.950382	14.717930
139.570000	56008.887454	59861.798982	15.929921	15.518930
938.270000	2678.115779	2507.793652	12.884503	12.121800
938.270000	1364.193889	1395.932748	15.767024	15.533170
105.660000	850.376319	889.612031	13.377509	12.758150
493.700000	94854.489634	88047.224680	15.183939	14.651180
493.700000	86392.335938	82775.553117	15.346836	14.406430
938.270000	2418.496636	2092.849289	12.869939	12.223260
139.570000	119.148195	109.125834	22.490570	22.313190
