
INPUTS
==================================================
Energy range:	10.0 - 100000.0 (10000) (MeV)
Dimensions:	[100, 100, 0] (cm)
Masses:		[0.511, 105.66, 139.57, 493.7, 938.27] (MeV)
Pressure:	8.5 (bar)
Sampling size:	0.75 (cm)

Bins(x,y):	[300, 150]
SIMULATED EVENTS:	5000

==================================================
Mass	P_true	P	dEdx	dEdx_trunc
139.570000	7454.478012	6802.603419	14.921095	14.514568
938.270000	19294.662912	18479.316694	14.596884	14.222538
938.270000	36997.169481	39707.770749	15.254833	14.671012
493.700000	10788.674937	9750.849703	14.344132	13.949630
105.660000	3818.327396	3710.130167	14.595296	14.077827
0.511000	29.296826	27.593627	15.238689	14.925669
0.511000	48.290693	45.243077	14.766797	14.293807
938.270000	747.989190	649.746586	23.496662	23.127704
105.660000	442.649507	450.220687	12.406544	12.084030
493.700000	3633.164128	3485.313013	13.011032	12.608553
139.570000	26927.362745	30834.790907	15.626683	15.240296
0.511000	24.718150	24.627863	14.944385	14.588444
938.270000	36798.300577	36233.879051	14.662785	14.106943
0.511000	31707.143212	32366.042200	15.404896	15.120356
493.700000	5353.784103	5609.386936	14.157546	13.872711
493.700000	1179.783075	1335.702565	13.579525	13.025738
105.660000	80.162695	86.647584	24.818117	24.410114
139.570000	802.648732	754.926953	12.839795	12.435160
938.270000	13137.124070	13141.501179	14.164956	13.828385
139.570000	187.978891	200.348429	16.282514	15.786548
139.570000	4835.060293	4706.420879	14.199362	13.754943
0.511000	525.526121	530.998881	15.172523	14.443733
938.270000	9762.697360	9755.857829	13.689624	13.249975
0.511000	4737.120091	4177.845911	15.190785	14.672316
0.511000	80462.462025	73363.325126	15.035429	14.556286
139.570000	1610.658115	1560.136640	13.363032	13.022696
938.270000	38076.555594	41028.342092	15.100535	14.614953
105.660000	2774.456772	2917.462988	14.969792	14.397669
938.270000	1397.578629	1423.581982	15.629065	15.096454
139.570000	1234.780093	1044.335953	13.279134	12.934479
493.700000	6594.219357	6949.853167	13.615783	13.121778
105.660000	126.151691	102.926107	18.323320	17.741235
139.570000	1152.088273	1124.904394	13.369119	12.904059
0.511000	220.566935	193.860449	15.417600	14.979121
0.511000	25441.884509	29657.421641	14.847783	14.557156
493.700000	14362.813125	13320.387067	14.394153	13.980484
493.700000	562.548587	622.482159	17.931621	17.614775
0.511000	3359.840628	3726.432888	14.949149	14.654499
139.570000	915.658590	740.998415	13.063170	12.489916
139.570000	54087.122663	55055.566813	15.864614	15.316346
139.570000	18911.781480	20803.851095	15.319940	14.905244
938.270000	7351.269298	5962.267427	13.509125	12.806716
493.700000	4319.103698	4865.054824	13.601492	12.980543
139.570000	3446.928341	2729.168926	15.336878	14.843101
105.660000	11711.822230	10801.720380	15.243188	14.830499
105.660000	236.956829	231.669168	13.476307	13.148286
938.270000	7435.953189	7956.286139	13.165065	12.634627
0.511000	16886.354197	17030.296962	15.403838	14.873521
139.570000	2819.254438	2758.593683	14.118905	13.750163
938.270000	57681.884955	58617.461729	14.416385	14.012642
139.570000	34365.072954	27443.140777	15.277329	15.089501
139.570000	20971.149036	19073.333814	15.431362	14.918716
0.511000	1951.384044	2046.371588	15.017961	14.528040
493.700000	2175.480176	2099.930224	12.272096	11.800257
0.511000	33.654717	34.720211	15.354611	14.882212
105.660000	2740.210667	2433.236992	14.910244	14.516741
493.700000	1952.150072	1793.163706	12.200902	11.854578
139.570000	620.393138	608.490643	12.623567	12.287842
105.660000	65.993383	67.603990	26.865011	26.307437
0.511000	158.897338	155.604810	14.777383	14.342044
