
INPUTS
==================================================
Energy range:	10.0 - 100000.0 (10000) (MeV)
Dimensions:	[250, 250, 0] (cm)
Masses:		[105.66, 139.57, 493.7, 938.27] (MeV)
Pressure:	10 (bar)
Sampling size:	0.2 (cm)

Bins(x,y):	[300, 150]
SIMULATED EVENTS:	25000

==================================================
Mass	P_true	P	dEdx	dEdx_trunc
938.27000	8822.47674	8856.98663	17.73974	16.10506
105.66000	105.56444	105.56668	26.13769	24.60040
493.70000	457.46033	457.39724	27.35325	25.35016
493.70000	11649.42752	11548.32946	19.56398	17.88354
105.66000	122.94751	122.94199	22.22774	20.58214
493.70000	862.91118	862.85276	18.21209	16.49314
938.27000	30000.38422	30057.55110	20.20276	18.47120
493.70000	1299.68244	1299.61493	16.86348	15.34315
938.27000	2261.49789	2262.92062	16.91416	15.37976
938.27000	7261.72324	7271.97329	17.10192	15.57917
105.66000	1000.82979	1001.48766	17.47606	16.02762
105.66000	292.53023	292.53081	16.76136	15.08056
139.57000	197.48776	197.50472	20.09811	18.45853
493.70000	4780.12072	4791.02706	17.94218	16.28792
105.66000	75.94024	75.93640	32.55162	30.49728
139.57000	16489.11467	16464.56477	21.60164	19.93059
493.70000	43105.91836	42849.27569	21.81738	20.12419
493.70000	459.40990	459.37213	27.20615	25.23611
139.57000	341.52119	341.55569	17.02367	15.35758
139.57000	2809.37447	2807.40691	19.69155	17.80152
105.66000	84127.48227	82596.81208	22.51455	20.81059
938.27000	4270.84064	4267.01045	16.81849	15.09605
105.66000	161.14382	161.15375	19.76811	18.17182
493.70000	98938.75048	97863.27166	22.60220	20.68845
139.57000	35879.36169	36634.78869	21.98032	20.31075
938.27000	16511.44279	16482.55298	18.75129	17.40605
139.57000	113.45460	113.44798	31.54304	29.53192
105.66000	3647.81374	3640.31239	20.20793	18.62608
139.57000	15036.55665	15116.04096	21.81316	20.16608
493.70000	859.20345	859.24547	18.18516	16.69554
105.66000	219.92437	219.92981	17.54565	15.95317
105.66000	10817.94385	10803.30218	21.63744	20.04922
105.66000	143.97624	143.97560	20.75916	19.16235
139.57000	113.27823	113.28239	31.81042	29.80912
105.66000	136.71333	136.70960	21.59055	19.85966
139.57000	443.31912	443.39111	16.73686	15.04835
493.70000	660.52619	660.49953	21.30322	19.49376
105.66000	102.70754	102.70101	26.77066	24.54285
139.57000	215.77580	215.76965	19.90180	18.26616
105.66000	6777.24186	6773.94381	21.40343	19.53618
139.57000	2204.49494	2204.53031	18.56459	16.90198
938.27000	20055.72883	19959.31258	19.92714	18.15616
105.66000	176.89967	176.90509	18.55688	17.08608
139.57000	326.21155	326.24853	17.22199	15.85566
105.66000	86084.80297	88014.85683	23.31511	21.10293
105.66000	89147.60830	89097.39721	22.74540	20.90246
938.27000	961.66005	961.54275	25.31137	23.61322
105.66000	727.50425	727.80791	17.13508	15.59483
105.66000	47.56864	47.56833	32.93273	31.03725
139.57000	45467.25970	45231.40389	22.29607	20.61453
105.66000	6524.00209	6528.00424	21.01197	19.39978
938.27000	10417.43717	10453.59888	18.02993	16.50000
105.66000	584.35183	584.29060	17.12716	15.60310
938.27000	43621.80596	43288.39582	21.41103	19.53829
938.27000	61629.67833	60379.48536	21.35137	19.58352
493.70000	29459.40996	29624.32268	20.85336	19.26672
139.57000	440.81535	440.86062	16.76199	15.19285
493.70000	3668.75084	3669.85172	17.33889	15.52232
105.66000	2284.10797	2283.35133	19.80264	18.37141
493.70000	797.66792	797.30689	19.31889	17.69258
493.70000	59699.22872	60945.33141	21.81084	20.43307
938.27000	6870.72375	6864.26280	17.58525	15.86429
493.70000	39248.36991	38968.45397	21.71474	20.04077
938.27000	32398.53109	32538.82717	20.79718	19.10656
105.66000	4750.35136	4763.88327	21.16414	19.36651
105.66000	3615.30807	3610.62724	20.68398	18.97861
139.57000	17967.95107	17993.79324	21.72414	20.19002
105.66000	206.33690	206.35895	17.18387	15.79987
938.27000	3108.83264	3108.62730	16.52629	14.77115
139.57000	229.42866	229.42673	19.38045	17.68624
938.27000	55780.03645	57443.05899	20.88673	19.38517
105.66000	68.41034	68.40974	32.80675	30.80757
493.70000	804.92995	805.39078	19.01687	17.44371
139.57000	45676.50575	44729.05816	22.28297	20.54378
938.27000	8896.30674	8890.57875	17.89846	16.12494
139.57000	4390.03350	4400.63750	20.75146	18.87512
493.70000	495.73203	495.84443	25.89565	23.90168
105.66000	25290.33251	24993.58662	22.42078	20.58021
105.66000	115.42648	115.43236	23.81333	22.06072
139.57000	4386.11607	4389.40287	20.41385	18.69718
105.66000	85.98650	85.98747	32.10356	30.26250
105.66000	92149.79354	90800.18824	22.61097	20.90739
493.70000	1663.07462	1663.56306	16.59779	14.85053
139.57000	67994.63041	67585.01083	22.48868	20.47056
493.70000	12470.85874	12516.22932	19.86547	18.26334
493.70000	4090.24751	4075.99270	17.45367	15.85338
938.27000	92133.73642	90192.91729	21.36689	19.74157
139.57000	729.70431	729.89802	16.96717	15.42077
105.66000	260.83365	260.79803	16.88396	15.47586
938.27000	1643.90119	1643.42092	17.88178	16.53168
105.66000	155.88497	155.88690	20.28312	18.63224
493.70000	4255.31913	4245.27722	17.68166	16.22210
938.27000	1188.81456	1188.99757	22.21169	20.62526
938.27000	2176.19801	2176.74329	17.55748	15.82786
139.57000	1774.76146	1775.68321	18.37778	16.77861
105.66000	13092.30872	13070.71921	21.59626	20.08635
105.66000	43592.97133	43878.29413	22.90221	21.28245
938.27000	32311.64049	32345.90867	20.40477	18.81686
105.66000	689.96504	689.92729	16.95091	15.59342
493.70000	12682.65627	12693.02591	19.54740	17.97752
493.70000	5349.26941	5362.94731	18.04070	16.50704
139.57000	257.22412	257.23024	18.16236	16.66544
105.66000	62.91922	62.91945	32.16734	30.25722
139.57000	1657.82224	1658.25440	17.88283	16.44562
493.70000	1011.44055	1010.96667	17.40658	15.75763
493.70000	2716.11199	2716.00372	17.13075	15.53446
938.27000	1162.80203	1162.65913	22.15910	20.38010
139.57000	1124.05353	1123.71068	17.48789	15.92958
493.70000	1297.91701	1297.31276	16.75524	15.05187
139.57000	12587.08088	12560.05635	21.40501	19.78275
105.66000	577.09271	577.08466	16.96052	15.43485
938.27000	1750.25473	1751.12367	18.25824	16.60965
493.70000	91273.53979	93779.89646	22.65014	20.60045
938.27000	2354.13242	2353.53864	17.02969	15.47075
139.57000	814.74455	814.58724	16.65756	15.06648
139.57000	1586.27650	1586.83467	18.33976	16.52517
139.57000	486.51566	486.62139	16.26694	14.99256
938.27000	29973.60006	29130.88630	20.59052	18.71566
105.66000	383.61970	383.71154	16.38109	14.79738
105.66000	15676.40171	15571.72420	22.11813	20.27784
938.27000	814.25678	814.32570	28.64368	27.04082
139.57000	72915.10411	73060.35599	22.28941	20.59429
105.66000	9139.37175	9137.47696	21.72773	19.94467
105.66000	80345.50166	79297.56588	23.01721	21.19410
493.70000	2647.10008	2646.99062	17.05979	15.41250
139.57000	7834.74462	7858.84999	21.10152	19.47757
139.57000	3753.20398	3761.20852	19.87825	18.17781
493.70000	2576.09892	2575.67655	16.65027	15.04096
938.27000	993.03877	993.47165	24.48970	22.51163
493.70000	6549.16771	6574.10934	18.08495	16.60982
493.70000	2292.22264	2292.64790	16.37127	14.97637
105.66000	15922.15636	15965.63115	21.52455	20.07949
493.70000	529.44804	529.29582	25.13005	23.07730
105.66000	1340.32489	1340.39829	18.20724	16.78582
938.27000	1390.98525	1391.65908	20.84956	19.08614
938.27000	2702.34951	2702.95551	16.66431	15.06824
938.27000	55780.03645	56573.96413	21.19909	19.55166
493.70000	11659.72695	11675.19550	19.39745	17.98597
139.57000	20990.34724	21109.12760	21.97515	20.22381
105.66000	131.30156	131.30192	22.07568	20.32237
105.66000	52.32481	52.32409	32.32141	30.45328
938.27000	61350.73353	60598.51496	21.11356	19.47950
139.57000	6712.90776	6722.64211	20.82759	19.38182
938.27000	877.71714	877.63537	26.80931	24.98496
105.66000	105.50751	105.50161	26.62134	24.54390
139.57000	293.10199	293.07987	17.73130	16.21981
105.66000	5513.10367	5516.63976	21.24070	19.44026
493.70000	10433.78384	10440.98390	19.39724	17.62499
105.66000	279.61684	279.62930	16.94458	15.44171
493.70000	13848.16769	13921.50335	19.62639	18.00744
105.66000	2423.08263	2420.44524	19.88026	18.22498
493.70000	1291.76117	1291.56775	17.15018	15.41866
938.27000	1210.00563	1210.25310	21.90904	20.03408
139.57000	2168.52063	2169.25244	18.90631	17.12374
493.70000	942.63366	942.62038	18.28886	16.67406
493.70000	501.39281	501.21961	25.93367	24.25491
938.27000	1968.32976	1967.27721	17.83732	16.36835
139.57000	30474.54345	30398.72891	23.07001	21.11965
938.27000	21654.27150	21481.84310	19.58426	17.99512
938.27000	2659.65487	2658.51955	16.79441	15.23614
139.57000	3271.68152	3270.73485	19.38087	17.89709
493.70000	874.15505	873.98471	18.33660	16.89090
105.66000	10401.89950	10408.22611	22.09891	20.49150
105.66000	277.72180	277.71982	16.84753	15.35582
139.57000	486.86709	486.96993	16.16715	14.71237
938.27000	3723.53307	3720.96798	16.61869	14.94011
105.66000	217.67700	217.66154	17.72654	16.31150
139.57000	334.75796	334.74253	16.69240	15.09341
139.57000	456.74963	456.59949	16.07433	14.79333
105.66000	2794.22489	2793.79194	19.83559	18.29854
105.66000	14907.17076	14859.96277	22.34844	20.79598
139.57000	748.07297	748.18229	16.55343	15.00664
139.57000	203.60064	203.58559	19.94235	18.47261
938.27000	19499.18337	19414.87208	19.49344	17.73922
