
INPUTS
==================================================
Energy range:	10.0 - 100000.0 (10000) (MeV)
Dimensions:	[250, 250, 0] (cm)
Masses:		[105.66, 139.57, 493.7, 938.27] (MeV)
Pressure:	10 (bar)
Sampling size:	0.2 (cm)

Bins(x,y):	[300, 150]
SIMULATED EVENTS:	50000

==================================================
Mass	P_true	P	dEdx	dEdx_trunc
139.57000	326.21155	326.23013	17.74006	16.05155
139.57000	2239.15934	2240.53960	19.07875	17.27862
938.27000	2587.34942	2587.17471	16.68924	15.08021
105.66000	83.96300	83.96419	32.17548	30.49218
139.57000	28345.45584	28214.11839	22.26333	20.36074
493.70000	8225.10012	8235.05517	18.77019	17.28056
493.70000	2892.13913	2888.90722	16.70191	15.20957
938.27000	9408.72717	9392.80217	17.89149	16.28000
938.27000	17940.16200	17821.92749	19.28890	17.42118
938.27000	5813.77680	5801.29863	17.20224	15.61754
139.57000	5827.41727	5843.18324	20.63340	19.05992
105.66000	3628.27445	3628.01386	20.47045	18.69507
105.66000	88.62007	88.59979	30.30002	28.33019
493.70000	93302.81846	96876.58447	22.04062	20.29878
493.70000	65352.47051	64729.84713	22.34148	20.69197
105.66000	195.48038	195.46435	18.04926	16.22386
938.27000	44455.88496	43638.57352	21.30892	19.58317
105.66000	71028.25166	74618.15185	22.49269	20.68704
938.27000	1091.90271	1091.13700	22.91298	21.09518
938.27000	2906.15574	2906.49149	16.43970	14.91019
493.70000	1816.52421	1816.57151	16.27043	14.61733
493.70000	680.68981	680.67760	20.37816	18.62414
493.70000	393.18987	393.13823	32.42849	30.63086
493.70000	639.26756	638.96257	22.07293	20.57862
105.66000	5041.62364	5036.33288	21.61579	19.73277
493.70000	1010.14639	1010.42403	17.83098	16.17405
938.27000	16155.72714	16314.29049	18.78582	17.40341
938.27000	6603.54504	6616.02946	17.21386	15.57882
105.66000	10808.08008	10754.48357	21.32233	19.77395
105.66000	2900.42825	2900.17932	20.08406	18.19418
493.70000	47911.81672	47966.02285	21.46563	19.85245
493.70000	85997.61522	84261.80433	22.06998	20.50136
139.57000	229.84632	229.86367	18.90610	17.40552
938.27000	2745.88355	2747.03458	16.83000	15.11206
105.66000	552.06104	551.91355	16.57772	15.05803
139.57000	33401.57220	33104.15121	22.39755	20.58408
938.27000	8562.19317	8558.49848	17.26877	15.71979
938.27000	4842.69165	4830.64383	16.89695	15.34650
938.27000	44576.36106	44373.66792	21.21377	19.36000
105.66000	677.40018	677.11965	17.04975	15.46758
139.57000	62538.68555	62107.99763	22.30261	20.48218
493.70000	2146.18000	2146.98115	17.26222	15.44646
