
INPUTS
==================================================
Energy range:	10.0 - 100000.0 (10000) (MeV)
Dimensions:	[250, 250, 0] (cm)
Masses:		[105.66, 139.57, 493.7, 938.27] (MeV)
Pressure:	10 (bar)
Sampling size:	0.2 (cm)

Bins(x,y):	[300, 150]
SIMULATED EVENTS:	25000

==================================================
Mass	P_true	P	dEdx	dEdx_trunc
139.57000	49475.98448	49145.01399	22.79904	21.09782
105.66000	51.44335	51.44711	32.55088	30.71957
105.66000	176.36212	176.38170	18.71961	16.91571
105.66000	49034.84101	48437.31333	22.18899	20.58725
105.66000	77.77988	77.78661	32.96674	31.27819
105.66000	68.71945	68.73458	32.64613	30.66853
493.70000	494.12887	494.08970	25.83884	24.13963
105.66000	4565.77373	4567.79005	21.15094	19.41738
139.57000	125.91229	125.91116	27.48050	25.76077
493.70000	43738.67159	44012.91143	21.20163	19.65445
105.66000	1013.43026	1013.94283	17.73098	16.04310
493.70000	16493.69931	16527.06095	20.02683	18.39710
105.66000	40915.00499	41324.50142	22.05815	20.47232
938.27000	74246.27471	75250.10615	21.50206	19.75618
139.57000	28241.71982	28383.88253	22.11803	20.38661
493.70000	1015.98642	1015.69175	17.50626	15.88594
938.27000	1561.53991	1561.28664	19.35236	17.66670
938.27000	82740.10324	80757.24904	21.71706	19.95858
105.66000	873.73652	874.02910	17.37912	15.82539
105.66000	126.08095	126.06916	22.61604	20.93080
938.27000	36600.52705	36227.92945	20.86783	19.13507
105.66000	1040.89450	1041.07134	17.48292	16.09995
493.70000	668.19252	668.19670	20.96730	19.41984
493.70000	40005.44358	40031.66467	21.87515	19.91176
139.57000	1067.60983	1067.22877	17.36666	15.90248
105.66000	863.03134	863.09989	17.62876	16.04592
938.27000	1174.05353	1174.10747	22.38551	20.75797
938.27000	89647.89896	89425.63646	21.62318	19.99026
938.27000	32689.90527	32341.82158	20.77701	19.12592
105.66000	2195.45800	2197.92476	19.67550	17.84077
139.57000	94241.14292	94423.38379	22.62818	20.91426
105.66000	11087.72886	11107.12103	21.94083	20.45402
139.57000	899.69196	900.05450	16.96939	15.64182
139.57000	90088.26721	87552.44026	22.76039	21.24690
493.70000	4877.00687	4870.13894	18.08115	16.53819
139.57000	5481.87153	5478.50314	20.68905	18.85330
105.66000	327.91442	327.89778	16.67984	15.02406
938.27000	17582.73865	17515.15380	19.17242	17.64330
105.66000	1234.08115	1232.88404	17.99202	16.43330
938.27000	9244.73447	9247.07387	17.99709	16.41886
105.66000	93.19137	93.19996	28.86428	26.80744
938.27000	13632.56327	13601.55647	18.54104	16.86573
493.70000	9531.90444	9560.01966	19.34729	17.62710
105.66000	65.43689	65.45381	32.35024	30.73013
493.70000	69354.60345	69436.17523	21.66014	19.98550
139.57000	131.02459	131.02772	26.88544	25.08933
139.57000	157.50163	157.49326	23.19747	21.58270
139.57000	361.62077	361.71804	16.75703	15.27416
105.66000	62.45357	62.44605	32.41920	30.65339
493.70000	1772.11447	1773.84455	16.16197	14.68509
493.70000	30797.10636	30599.54483	21.52645	19.87093
105.66000	774.85720	774.60846	17.25156	15.72366
105.66000	588.94192	589.11036	17.15842	15.47814
938.27000	15018.59797	15045.78674	18.92120	17.21509
938.27000	14671.32232	14769.63521	18.35011	16.78442
139.57000	12679.15684	12603.18092	21.81084	20.04253
139.57000	9400.36105	9426.04442	21.52836	19.66202
493.70000	894.97057	895.06154	18.27566	16.66192
105.66000	422.36953	422.29914	16.30960	14.82026
493.70000	1850.02752	1851.43680	16.71194	15.08742
493.70000	4516.85233	4515.50547	17.58757	16.12477
139.57000	9231.27792	9222.56649	21.55402	19.68859
105.66000	32520.86522	32787.01615	22.24992	20.64814
139.57000	80527.31859	83621.49539	22.27083	20.62544
105.66000	7228.25395	7234.39469	21.43754	19.47264
139.57000	2233.34210	2234.85153	19.28267	17.46923
938.27000	2625.00569	2628.70186	16.59071	14.97320
938.27000	47871.67778	49005.15669	20.77838	19.17274
105.66000	472.57218	472.56031	16.54287	15.00629
105.66000	2895.27736	2897.83070	19.51699	17.80662
493.70000	1464.18928	1462.83118	16.68839	15.06102
493.70000	1920.68396	1922.27919	16.51436	15.07000
105.66000	7482.03297	7474.34057	21.68010	19.92179
938.27000	7734.61311	7710.94198	17.77438	16.09133
938.27000	2009.41945	2011.22015	17.42970	15.95475
493.70000	434.13261	434.20615	28.60947	26.59307
493.70000	397.07326	397.10333	32.20430	30.13120
105.66000	5241.13971	5247.58393	20.67036	19.15602
938.27000	15241.70912	15309.04718	18.55170	17.02642
105.66000	5399.70464	5393.42052	21.44250	19.72080
105.66000	39875.91974	39152.46955	22.13482	20.35950
938.27000	37668.05512	37891.64944	20.64163	18.87213
139.57000	1401.48763	1402.13099	18.05876	16.49296
105.66000	57.80387	57.79958	32.39618	30.55659
139.57000	4835.06029	4819.51519	20.34690	18.72059
938.27000	8282.82925	8275.13453	17.75316	16.12618
938.27000	29973.60006	30204.48800	20.39389	18.69666
493.70000	49646.41015	50282.09990	22.07927	20.25848
938.27000	70176.29931	70177.12050	21.67556	19.87462
493.70000	21551.63404	21306.48333	20.94903	19.19157
493.70000	23669.78382	23866.79685	21.14545	19.45768
139.57000	653.23775	653.24932	16.46895	15.04131
938.27000	1267.62444	1267.16674	20.99117	19.55994
139.57000	346.58839	346.52054	17.05841	15.59043
139.57000	12382.37380	12365.21729	21.92288	20.12014
493.70000	19875.37915	20165.85667	20.59728	19.07541
493.70000	31474.65804	31531.28791	21.36489	19.64283
139.57000	4517.31390	4510.61512	20.76719	18.99867
139.57000	274.43276	274.47833	17.70067	16.22562
139.57000	241.04676	240.99764	18.36986	16.65013
105.66000	1823.77113	1823.57373	18.94981	17.34955
139.57000	133.56654	133.55638	26.57308	24.67661
105.66000	99.35864	99.34957	26.90107	25.25494
139.57000	7834.74462	7842.22106	21.35644	19.61802
105.66000	727.50425	727.81862	17.19263	15.70131
105.66000	4073.09573	4071.63981	20.26475	18.78325
493.70000	45860.71855	46432.75960	21.78739	19.86125
139.57000	15425.80366	15298.49414	21.69668	20.07738
493.70000	649.23008	649.31272	21.33109	19.69018
938.27000	51882.89904	51208.57973	21.13806	19.38429
493.70000	43978.36834	43644.66445	21.60534	19.88747
493.70000	7516.07799	7519.65740	18.61348	17.06918
139.57000	364.08013	364.06924	16.96886	15.33893
139.57000	48754.18964	47724.88632	22.87296	21.01757
105.66000	51530.17475	50244.03062	22.61772	20.96318
938.27000	3615.18903	3617.10124	16.37539	14.83469
139.57000	581.15141	581.14345	16.88153	15.11770
139.57000	241.34282	241.32708	17.84883	16.39704
938.27000	34712.84418	35273.81325	20.43170	18.70880
938.27000	6093.69116	6087.51443	17.28144	15.76520
139.57000	2111.15552	2110.90738	18.82954	17.25363
105.66000	5799.45917	5803.98269	21.11525	19.13613
105.66000	863.03134	863.13575	17.35969	15.80902
938.27000	6870.72375	6872.62015	17.48715	15.79565
105.66000	203.23303	203.24293	18.20069	16.40514
105.66000	1434.10494	1434.49133	18.26700	16.62038
139.57000	17370.53104	17427.55723	21.75212	20.06541
938.27000	761.27184	760.98779	31.55518	29.87406
493.70000	33630.04058	33922.46284	21.23035	19.56592
105.66000	3374.78736	3377.26656	20.47426	18.80877
938.27000	2173.32834	2172.61701	17.34628	15.62018
493.70000	13811.26741	13863.32565	19.92292	18.34694
139.57000	728.00904	727.95841	17.07003	15.28226
938.27000	27883.92788	28078.53446	19.71108	18.05109
938.27000	10941.96485	10950.70737	18.27017	16.65470
938.27000	2006.82026	2006.33137	17.73563	15.99787
139.57000	1638.22386	1637.90247	17.95696	16.38982
938.27000	8519.63683	8522.68415	17.50605	16.05718
105.66000	452.03018	451.99948	16.68469	15.04378
493.70000	3413.79508	3414.70795	17.19506	15.70114
105.66000	260.13609	260.18891	16.89104	15.35829
105.66000	73893.76449	74675.93961	22.68541	20.96090
139.57000	30058.28186	29817.88463	21.95128	20.30794
105.66000	214.08572	214.08562	17.88811	16.18408
139.57000	1220.55540	1220.16756	17.35209	15.90512
938.27000	3075.72145	3073.28529	16.31868	14.76517
105.66000	3323.94337	3321.67361	19.87994	18.29291
139.57000	6947.16774	6935.87270	21.22972	19.36845
493.70000	2750.31395	2752.53752	17.10931	15.54080
493.70000	545.39131	545.53969	23.55756	21.87258
493.70000	46960.46764	46888.08775	21.64399	20.04235
105.66000	38261.10256	39221.10351	22.82628	21.16101
139.57000	205.52879	205.53760	20.12652	18.37229
139.57000	10990.52804	11014.42053	21.35390	19.80229
493.70000	3237.55189	3239.45017	17.01512	15.73581
493.70000	37811.81426	36866.18081	21.22021	19.70725
493.70000	26284.39774	26138.52144	21.47767	19.77730
938.27000	19362.58593	19317.00234	19.31815	17.84147
139.57000	971.75415	971.46091	17.16190	15.42957
938.27000	10088.56028	10065.93581	18.00512	16.58290
105.66000	128.65864	128.65546	22.43673	20.57123
938.27000	1943.17929	1945.58590	17.93500	16.25043
139.57000	38330.06665	38877.77956	21.94579	20.32835
493.70000	9959.05502	9998.87692	19.32121	17.79730
139.57000	54586.34669	51963.92002	22.85680	20.86867
105.66000	15476.88508	15404.26792	22.42089	20.62245
105.66000	461.99328	461.96402	16.86886	15.22171
493.70000	477.15576	477.09072	26.46906	24.69878
938.27000	3615.18903	3613.63060	16.81194	14.97126
105.66000	62.51543	62.51062	32.44095	30.37355
493.70000	14362.81313	14417.30256	20.01659	18.41189
139.57000	3265.90596	3269.68297	19.72238	17.94584
493.70000	3274.06354	3272.85029	17.16095	15.48923
139.57000	145.37092	145.36263	24.76816	23.12904
105.66000	134.01180	134.02036	21.66880	19.96966
139.57000	7112.23930	7100.02986	20.99423	19.25546
105.66000	72346.93707	69223.59741	22.27421	20.46810
105.66000	26067.64245	26004.89486	22.03249	20.64075
139.57000	66878.84593	66789.65858	22.36545	20.72541
938.27000	49633.86507	49830.48352	21.22623	19.51206
493.70000	88555.52723	86300.00517	22.17917	20.53410
105.66000	1134.94498	1134.36012	18.00617	16.45723
938.27000	4487.56316	4487.47239	16.26852	14.80987
105.66000	123.49751	123.49820	22.29818	20.81658
105.66000	5857.46355	5844.29579	21.01282	19.54867
493.70000	3656.84556	3663.78196	17.17426	15.76133
139.57000	69002.08947	68395.40803	22.85691	20.87888
105.66000	3683.91723	3684.96704	20.35123	18.67237
105.66000	168.13366	168.14299	19.19966	17.60739
938.27000	14850.31693	14947.23083	18.95309	17.31541
493.70000	8803.09945	8779.10085	19.27158	17.55389
493.70000	657.11195	657.19634	20.95093	19.08702
493.70000	36461.61318	36568.95944	21.52920	19.81162
139.57000	32435.43173	32316.90087	21.61738	20.31621
938.27000	67486.99781	69892.45755	21.37428	19.73365
