Reduced Drift Field (V/cm/bar);Drift Velocity (mm/us)
19.69284603421462; 12.907460893464005
20.37325038880249; 13.595085865692397
21.18973561430793; 14.282669694800319
22.278382581648522; 15.075991343487459
23.094867807153967; 15.922305331325546
24.04743390357698; 16.715668123133128
25.000000000000004; 17.56194096785076
26.0886469673406; 18.51399277526805
27.177293934681185; 19.466044582685328
28.1298600311042; 20.471047586133125
29.21850699844479; 21.37018934064035
30.171073094867797; 22.322282291178098
31.259720062208405; 23.327244151505425
32.348367029548996; 24.279295958922695
33.43701399688959; 25.284257819250037
34.52566096423017; 26.500859891217587
35.614307931570764; 27.452911698634864
36.56687402799378; 28.352094596262553
37.65552099533437; 29.409966509499945
38.744167962674965; 30.309108264007158
39.832814930015545; 31.261160071424456
40.92146189735614; 32.26612193175179
41.874027993779166; 33.27112493519958
43.09875583203733; 34.223135599496395
43.91524105754277; 35.069449587334496
45.13996889580093; 36.02146025163133
46.092534992223946; 36.92064314925901
47.45334370139969; 37.87261267043537
48.54199066874028; 38.87757453076269
49.63063763608086; 39.93544644400009
51.26360808709177; 40.940243731845605
52.48833592534993; 41.83934434323236
53.98522550544324; 43.05582298583853
55.618195956454116; 44.11353032659408
56.97900466562987; 45.17131995359056
58.8841368584759; 46.3347651139253
61.06143079315707; 47.60394809383922
63.10264385692068; 48.82026216396356
64.73561430793157; 49.930879557629176
66.91290824261276; 50.93551227299283
68.68195956454122; 51.993178470627925
71.40357698289269; 53.05055666641981
73.71695178849144; 54.05514823866301
76.71073094867808; 55.112444148213974
79.56842923794711; 55.958140989245194
83.10653188180405; 57.01527232631432
86.10031104199066; 57.70219786549491
89.63841368584758; 58.336048779283615
93.72083981337481; 58.91682506768043
97.53110419906687; 59.28604343067796
101.34136858475894; 59.49653163494532
104.74339035769829; 59.60132316275396
107.87325038880246; 59.65328692389346
111.41135303265942; 59.59930714985148
114.67729393468119; 59.54540966205041
118.48755832037324; 59.2797073901273
121.88958009331257; 59.11994865338566
126.38024883359253; 58.74822056004015
129.37402799377918; 58.429855093929746
133.18429237947123; 58.00542266327648
136.45023328149298; 57.475334699284936
139.71617418351477; 57.15688694693361
143.25427682737168; 56.73253680252125
147.06454121306376; 56.14937421313782
150.60264385692068; 55.61920396290536
154.14074650077762; 55.14194376558295
157.40668740279938; 54.55894574868137
161.6251944012442; 53.86983962411645
165.29937791601867; 53.39253828367359
169.38180404354588; 52.75638335513919
173.4642301710731; 52.12022842660478
176.18584758942458; 51.643215088005135
179.1796267496112; 51.21902951607462
182.98989113530328; 50.530046820871085
186.5279937791602; 49.946966517728576
189.9300155520995; 49.46974746352663
193.19595645412133; 48.93965949953508
195.50933125972006; 48.56858969611691
